Word_Offset	Word	POS	Sense_no	Gloss	Class	Prediction_Value	EndMarker(##)
2104	अंतर्राष्ट्रीय	ADJECTIVE	1	सब या कुछ राष्ट्रों से संबंध रखने वाला 	neutral	0.974	##
2129	अंतर्लीन	ADJECTIVE	1	जो किसी कार्य या विषय में लीन या पूरी तरह से लगा हुआ हो 	past	0.581	##
2129	अंतर्लीन	ADJECTIVE	3	छिपा हुआ 	neutral	0.984	##
2114	अंतर्हित	ADJECTIVE	2	जिसका ज्ञान नेत्रों से न हो सके या दिखाई न देने वाला 	present	0.997	##
2104	अंताराष्ट्रीय	ADJECTIVE	1	सब या कुछ राष्ट्रों से संबंध रखने वाला 	neutral	0.974	##
33135	अंतिक	ADJECTIVE	2	अंत तक जाने वाला 	future	0.965	##
2079	अंतिम	ADJECTIVE	2	पराकाष्ठा या हद तक पहुँचा हुआ 	neutral	0.987	##
2139	अंतेवासी	ADJECTIVE	3	पास या साथ रहने वाला 	neutral	0.99	##
27	अंध	ADJECTIVE	3	जो आँख मूँदकर या आँख बंद करके किया हुआ हो 	present	0.981	##
19339	अंध-विश्वासी	ADJECTIVE	1	अंधविश्वास करने वाला 	neutral	0.995	##
2175	अंधकारपूर्ण	ADJECTIVE	1	अंधकार से भरा हुआ 	neutral	0.989	##
2175	अंधकारमय	ADJECTIVE	1	अंधकार से भरा हुआ 	neutral	0.989	##
2175	अंधकारमय	ADJECTIVE	2	जो अज्ञान से भरा हो 	present	0.995	##
19339	अंधविश्वासी	ADJECTIVE	1	अंधविश्वास करने वाला 	neutral	0.995	##
2160	अंधा	ADJECTIVE	3	किसी भावना के प्रभाव से होशो-हवाश या विवेक खोया हुआ 	future	0.698	##
2175	अंधियार	ADJECTIVE	1	अंधकार से भरा हुआ 	neutral	0.989	##
2175	अंधियारा	ADJECTIVE	1	अंधकार से भरा हुआ 	neutral	0.989	##
2175	अंधेरा	ADJECTIVE	1	अंधकार से भरा हुआ 	neutral	0.989	##
2175	अंधेरिया	ADJECTIVE	1	अंधकार से भरा हुआ 	neutral	0.989	##
8472	अंशकालिक	ADJECTIVE	1	कुछ या थोड़े समय के लिए होने या किया जानेवाला 	future	0.802	##
2853	अकड़बाज	ADJECTIVE	1	अभिमान या दर्प से भरा हुआ 	neutral	0.985	##
2853	अकड़बाज़	ADJECTIVE	1	अभिमान या दर्प से भरा हुआ 	neutral	0.985	##
2853	अकड़ैत	ADJECTIVE	1	अभिमान या दर्प से भरा हुआ 	neutral	0.985	##
2219	अकथ	ADJECTIVE	2	जिसका वर्णन न किया जा सके 	present	0.998	##
2219	अकथनीय	ADJECTIVE	2	जिसका वर्णन न किया जा सके 	present	0.998	##
15985	अकथित	ADJECTIVE	1	बिना कहा हुआ या जो कहा न गया हो 	present	0.999	##
2219	अकथ्य	ADJECTIVE	2	जिसका वर्णन न किया जा सके 	present	0.998	##
9132	अकर	ADJECTIVE	3	जिसका हाथ न हो या बिना हाथ का 	present	0.998	##
2823	अकलात्मक	ADJECTIVE	1	जिसमें कला न हो या जिसमें कला का प्रदर्शन न हुआ हो 	present	0.985	##
2236	अकल्पित	ADJECTIVE	2	जो वास्तव में हो या हुआ हो या बिल्कुल ठीक 	present	0.993	##
1917	अकल्मष	ADJECTIVE	1	जिसने पाप न किया हो 	present	0.999	##
14531	अकाजी	ADJECTIVE	1	काम में विघ्न डालने वाला 	future	0.982	##
22443	अकार्यसाधक	ADJECTIVE	1	कार्य में न लगा हुआ 	present	0.562	##
2319	अकाल	ADJECTIVE	1	बहुत दिनों तक बना रहनेवाला 	neutral	0.991	##
2256	अकाल_प्रसूत	ADJECTIVE	1	जो उपयुक्त या नियत समय से पहले या पीछे जन्मा हो 	present	0.928	##
2256	अकालजात	ADJECTIVE	1	जो उपयुक्त या नियत समय से पहले या पीछे जन्मा हो 	present	0.928	##
2688	अकालातीत	ADJECTIVE	1	जिस पर इस समय की बातों या विशेषताओं की पूरी छाप हो 	present	0.504	##
2257	अकालिक	ADJECTIVE	1	जो नियत समय से पूर्व या बाद में हो 	present	0.898	##
3210	अकाल्पनिक	ADJECTIVE	1	जो वास्तव में हो या हुआ हो या बिल्कुल ठीक 	present	0.993	##
14556	अकीर्तिकर	ADJECTIVE	1	बदनामी या अपयश देने वाला 	neutral	0.991	##
2546	अकुंठ	ADJECTIVE	2	पैनी धार वाला 	neutral	0.992	##
2546	अकुंठित	ADJECTIVE	2	पैनी धार वाला 	neutral	0.992	##
2546	अकुण्ठ	ADJECTIVE	2	पैनी धार वाला 	neutral	0.992	##
2546	अकुण्ठित	ADJECTIVE	2	पैनी धार वाला 	neutral	0.992	##
3210	अकूट	ADJECTIVE	1	जो वास्तव में हो या हुआ हो या बिल्कुल ठीक 	present	0.993	##
2281	अकृत	ADJECTIVE	2	जिसका निर्माण न हुआ हो 	present	0.999	##
2281	अकृत	ADJECTIVE	3	बिगड़ा हुआ या ठीक से न किया हुआ 	present	0.93	##
14583	अकृतकार्य	ADJECTIVE	1	जिसका कार्य पूरा न हुआ हो 	present	0.999	##
866	अकृतज्ञ	ADJECTIVE	1	अपने साथ किया हुआ उपकार न मानने वाला 	present	0.875	##
11223	अकृतार्थ	ADJECTIVE	2	जिसका कार्य पूरा न हुआ हो 	present	0.999	##
3806	अकृपण	ADJECTIVE	1	जो बड़े दिल वाला हो 	present	0.992	##
14658	अक्रिय	ADJECTIVE	1	जो क्रिया न करता हो या किसी क्रिया में लगा हुआ न हो 	present	0.923	##
1107	अक्लांत	ADJECTIVE	1	जो थका हुआ न हो 	present	0.999	##
1107	अक्लान्त	ADJECTIVE	1	जो थका हुआ न हो 	present	0.999	##
2312	अक्षत	ADJECTIVE	1	जिसे क्षति न पहुँची हो या जो हत न हुआ हो 	present	0.998	##
2312	अक्षत	ADJECTIVE	2	जिसका भंजन न हुआ हो या जो टूटा हुआ न हो 	present	1	##
4402	अक्षत_योनि	ADJECTIVE	1	जिसका कौमार्य भंग न हुआ हो 	present	0.999	##
4402	अक्षतयोनि	ADJECTIVE	1	जिसका कौमार्य भंग न हुआ हो 	present	0.999	##
4402	अक्षता	ADJECTIVE	1	जिसका कौमार्य भंग न हुआ हो 	present	0.999	##
29135	अक्षमावान	ADJECTIVE	1	क्षमा न करने वाला 	neutral	0.866	##
29135	अक्षमाशील	ADJECTIVE	1	क्षमा न करने वाला 	neutral	0.866	##
2136	अक्षय	ADJECTIVE	1	जिसका कभी नाश न हो या सदा बना रहनेवाला 	present	0.998	##
2136	अक्षय्य	ADJECTIVE	1	जिसका कभी नाश न हो या सदा बना रहनेवाला 	present	0.998	##
2136	अक्षर	ADJECTIVE	1	जिसका कभी नाश न हो या सदा बना रहनेवाला 	present	0.998	##
37284	अक्षरवाला	ADJECTIVE	1	अक्षरों में लिखा हुआ 	future	0.853	##
37284	अक्षरीय	ADJECTIVE	1	अक्षरों में लिखा हुआ 	future	0.853	##
2312	अक्षित	ADJECTIVE	1	जिसे क्षति न पहुँची हो या जो हत न हुआ हो 	present	0.998	##
28022	अक्षितिज	ADJECTIVE	1	भूमि या पृथ्वी से उत्पन्न न होने वाला 	neutral	0.6	##
2136	अक्षुण	ADJECTIVE	1	जिसका कभी नाश न हो या सदा बना रहनेवाला 	present	0.998	##
2136	अक्षुण्ण	ADJECTIVE	1	जिसका कभी नाश न हो या सदा बना रहनेवाला 	present	0.998	##
2136	अक्षुण्य	ADJECTIVE	1	जिसका कभी नाश न हो या सदा बना रहनेवाला 	present	0.998	##
2212	अखंडित	ADJECTIVE	2	जिसका भंजन न हुआ हो या जो टूटा हुआ न हो 	present	1	##
2212	अखंडित	ADJECTIVE	5	जो कटा हुआ न हो 	present	0.999	##
2212	अखण्डित	ADJECTIVE	2	जिसका भंजन न हुआ हो या जो टूटा हुआ न हो 	present	1	##
2136	अखय	ADJECTIVE	1	जिसका कभी नाश न हो या सदा बना रहनेवाला 	present	0.998	##
2319	अखीन	ADJECTIVE	1	बहुत दिनों तक बना रहनेवाला 	neutral	0.991	##
2136	अखै	ADJECTIVE	1	जिसका कभी नाश न हो या सदा बना रहनेवाला 	present	0.998	##
2041	अगड़-बगड़	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
5908	अगड़धत्त	ADJECTIVE	1	मजबूत शरीर वाला 	neutral	0.993	##
2041	अगड़बगड़	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
2041	अगड़म-बगड़म	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
2041	अगड़मबगड़म	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
35250	अगड़ा	ADJECTIVE	1	पद, मर्यादा, स्थिति के विचार से जो पहले से अथवा अपने वर्ग के अन्य सदस्यों से बहुत आगे बढ़ा हुआ हो 	past	0.953	##
2344	अगत	ADJECTIVE	1	जो व्यतीत न हुआ हो 	present	0.999	##
2301	अगति	ADJECTIVE	2	जिसका श्राद्ध-कर्म रीति अनुसार या ठीक से न किया गया हो 	present	0.998	##
2341	अगतिक	ADJECTIVE	3	जिसका श्राद्ध-कर्म रीति अनुसार या ठीक से न किया गया हो 	present	0.998	##
1590	अगत्तर	ADJECTIVE	2	आगे आने वाला या उससे संबंधित 	future	0.927	##
1590	अगला	ADJECTIVE	3	आगे आने वाला या उससे संबंधित 	future	0.927	##
1590	अगला	ADJECTIVE	4	गिनती में सबसे पहले आने वाला 	future	0.989	##
3578	अगवा	ADJECTIVE	1	जिसका अपहरण किया गया हो 	present	0.999	##
483	अगहनिया	ADJECTIVE	1	अगहन में तैयार होने वाला या अगहन का 	future	0.973	##
483	अगहनी	ADJECTIVE	1	अगहन में तैयार होने वाला या अगहन का 	future	0.973	##
3578	अग़वा	ADJECTIVE	1	जिसका अपहरण किया गया हो 	present	0.999	##
1414	अगूढ़	ADJECTIVE	1	जो जाना हुआ हो 	present	0.997	##
12804	अग्निवर्धक	ADJECTIVE	1	वैद्यक के अनुसार भूख बढ़ाने वाला 	neutral	0.494	##
2493	अग्यात	ADJECTIVE	1	जो छिपा हुआ हो 	present	0.996	##
1362	अग्रगत	ADJECTIVE	1	आगे बढ़ा हुआ 	neutral	0.991	##
2366	अग्रगामी	ADJECTIVE	2	प्रगति करनेवाला या जो बराबर उन्नति करता हुआ आगे बढ़ता हो 	present	0.869	##
7098	अग्रज	ADJECTIVE	1	जो पहले उत्पन्न हुआ हो 	present	0.996	##
7098	अग्रजन्मा	ADJECTIVE	1	जो पहले उत्पन्न हुआ हो 	present	0.996	##
7098	अग्रजात	ADJECTIVE	1	जो पहले उत्पन्न हुआ हो 	present	0.996	##
2406	अग्रदर्शी	ADJECTIVE	1	प्रगति करनेवाला या जो बराबर उन्नति करता हुआ आगे बढ़ता हो 	present	0.869	##
2410	अग्रप्रेषित	ADJECTIVE	1	किसी का निवेदन उचित आज्ञा आदि के लिए बड़े अधिकारी के पास भेजा हुआ 	past	0.941	##
13859	अग्रसर	ADJECTIVE	1	आगे बढ़ा हुआ 	neutral	0.991	##
2410	अग्रसारित	ADJECTIVE	1	किसी का निवेदन उचित आज्ञा आदि के लिए बड़े अधिकारी के पास भेजा हुआ 	past	0.941	##
22285	अग्रहीत	ADJECTIVE	1	जो न लिया गया हो या जिसको ग्रहण न किया गया हो 	present	1	##
1619	अग्राम्य	ADJECTIVE	2	जंगल में होने या मिलने वाला 	future	0.977	##
2358	अग्रिम	ADJECTIVE	2	नियत समय से पहले का 	neutral	0.989	##
2417	अघायु	ADJECTIVE	1	जो पाप करता हो या पाप करने वाला 	present	0.982	##
9421	अघारि	ADJECTIVE	2	अघासुर को मारने वाला 	neutral	0.99	##
2417	अघी	ADJECTIVE	1	जो पाप करता हो या पाप करने वाला 	present	0.982	##
12632	अघोष	ADJECTIVE	2	जिसका उच्चारण करते समय स्वरतंत्रियाँ झंकृत नहीं होती हों 	neutral	0.471	##
266	अङ्गूरी	ADJECTIVE	1	अंगूर का बना हुआ 	neutral	0.993	##
2420	अचंचल	ADJECTIVE	2	जिसका चित्त स्थिर हो 	present	0.998	##
5089	अचंभित	ADJECTIVE	1	जिसे आश्चर्य हुआ हो 	present	0.991	##
5089	अचम्भित	ADJECTIVE	1	जिसे आश्चर्य हुआ हो 	present	0.991	##
2437	अचिंतित	ADJECTIVE	1	जिस पर विचार न किया गया हो या बिना सोचा समझा 	present	0.997	##
25502	अचिकित्सित	ADJECTIVE	1	जिसका उपचार न किया गया हो 	present	1	##
16792	अचित्रित	ADJECTIVE	1	जिसका वर्णन न किया गया हो 	present	1	##
2437	अचिन्तित	ADJECTIVE	1	जिस पर विचार न किया गया हो या बिना सोचा समझा 	present	0.997	##
4564	अचिर	ADJECTIVE	1	जो कुछ ही दिनों से हो या कुछ ही दिन रहे 	present	0.774	##
2435	अचीता	ADJECTIVE	2	जिस पर विचार न किया गया हो या बिना सोचा समझा 	present	0.997	##
3187	अचेल	ADJECTIVE	1	जिसने वस्त्र न पहना हो या खुला रहने वाला 	present	0.998	##
1353	अचैन	ADJECTIVE	1	जिसका चित्त व्याकुल हो या जो घबराया हुआ हो 	present	0.998	##
3187	अचैल	ADJECTIVE	1	जिसने वस्त्र न पहना हो या खुला रहने वाला 	present	0.998	##
14977	अचोट	ADJECTIVE	1	बिना चोट लगा 	neutral	0.991	##
2313	अच्छत	ADJECTIVE	1	जिसका भंजन न हुआ हो या जो टूटा हुआ न हो 	present	1	##
32	अच्छा	ADJECTIVE	6	देखने में भला और सुन्दर लगने वाला 	future	0.982	##
2136	अच्युत	ADJECTIVE	1	जिसका कभी नाश न हो या सदा बना रहनेवाला 	present	0.998	##
2136	अच्युत	ADJECTIVE	2	जो गिरा हुआ न हो 	present	0.999	##
14983	अछूता	ADJECTIVE	1	बिना छुआ हुआ 	neutral	0.989	##
1	अज	ADJECTIVE	1	जिसने जन्म न लिया हो 	present	0.999	##
1	अज	ADJECTIVE	2	जो कभी न जन्म लेता हो 	present	0.998	##
2242	अजगैबी	ADJECTIVE	1	अकस्मात होने वाला 	neutral	0.991	##
2242	अजगैबी	ADJECTIVE	2	जो छिपा हुआ हो 	present	0.996	##
1	अजन	ADJECTIVE	1	जिसने जन्म न लिया हो 	present	0.999	##
1	अजन	ADJECTIVE	3	जो कभी न जन्म लेता हो 	present	0.998	##
1	अजन्म	ADJECTIVE	1	जिसने जन्म न लिया हो 	present	0.999	##
22269	अजन्मगत	ADJECTIVE	1	जो किसी के जन्म लेने के समय से ही उसके साथ ही उत्पन्न या लगा न हो 	past	0.591	##
22269	अजन्मजात	ADJECTIVE	1	जो किसी के जन्म लेने के समय से ही उसके साथ ही उत्पन्न या लगा न हो 	past	0.591	##
1	अजन्मा	ADJECTIVE	1	जिसने जन्म न लिया हो 	present	0.999	##
1	अजन्मा	ADJECTIVE	2	जो कभी न जन्म लेता हो 	present	0.998	##
15008	अजपा	ADJECTIVE	1	जिसका ज़ोर-ज़ोर से जप न किया जाय 	present	0.996	##
15008	अजपा	ADJECTIVE	2	जो जपा न जाए या जिसका जप न किया जाए 	present	0.996	##
2483	अजर	ADJECTIVE	1	हमेशा युवा रहने वाला 	neutral	0.993	##
1	अजात	ADJECTIVE	1	जिसने जन्म न लिया हो 	present	0.999	##
1	अजात	ADJECTIVE	2	जो जाति से निकाला हुआ हो 	present	0.99	##
1	अजात	ADJECTIVE	4	जो कभी न जन्म लेता हो 	present	0.998	##
6666	अजाति	ADJECTIVE	1	जो जाति से निकाला हुआ हो 	present	0.99	##
6666	अजाती	ADJECTIVE	1	जो जाति से निकाला हुआ हो 	present	0.99	##
2830	अजाद	ADJECTIVE	2	जो बँधा हुआ न हो 	present	0.999	##
2489	अजान	ADJECTIVE	1	जो ज्ञात या जाना हुआ न हो 	present	0.998	##
2489	अजाना	ADJECTIVE	1	जो ज्ञात या जाना हुआ न हो 	present	0.998	##
2494	अजीब	ADJECTIVE	1	जिज्ञासा उत्पन्न करने वाला 	neutral	0.992	##
31822	अजीर्णग्रस्त	ADJECTIVE	1	जिसे अजीर्ण हुआ हो 	present	0.989	##
12353	अजुड़ा	ADJECTIVE	1	जो जुड़ा, सटा या लगा हुआ न हो 	present	0.991	##
2290	अजोड़	ADJECTIVE	2	जो जुड़ा, सटा या लगा हुआ न हो 	present	0.991	##
2489	अज्ञ	ADJECTIVE	1	जो ज्ञात या जाना हुआ न हो 	present	0.998	##
2489	अज्ञात	ADJECTIVE	1	जो ज्ञात या जाना हुआ न हो 	present	0.998	##
2489	अज्ञात	ADJECTIVE	3	जो छिपा हुआ हो 	present	0.996	##
5967	अज्ञानपूर्ण	ADJECTIVE	1	जो अज्ञान से भरा हो 	present	0.995	##
15060	अटकलपच्चू	ADJECTIVE	1	केवल अटकल या अनुमान से सोचा या समझा हुआ 	neutral	0.964	##
2041	अटपट	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
2041	अटपटा	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
2041	अट्ट-सट्ट	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
2041	अट्टसट्ट	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
15780	अट्ठयासीवाँ	ADJECTIVE	1	गणना में अट्ठासी के स्थान पर आने वाला 	future	0.994	##
15825	अट्ठानबेवाँ	ADJECTIVE	1	गणना में अट्ठानबे के स्थान पर आने वाला 	future	0.994	##
15825	अट्ठानवेवाँ	ADJECTIVE	1	गणना में अट्ठानबे के स्थान पर आने वाला 	future	0.994	##
13733	अट्ठारहवाँ	ADJECTIVE	1	गणना में अठारह के स्थान पर आने वाला 	future	0.994	##
15097	अट्ठावनवाँ	ADJECTIVE	1	गणना में अट्ठावन के स्थान पर आने वाला या सत्तावन के बाद का 	future	0.96	##
15097	अट्ठावनवां	ADJECTIVE	1	गणना में अट्ठावन के स्थान पर आने वाला या सत्तावन के बाद का 	future	0.96	##
15780	अट्ठासीवाँ	ADJECTIVE	1	गणना में अट्ठासी के स्थान पर आने वाला 	future	0.994	##
25471	अठकोना	ADJECTIVE	1	आठ कोणों वाला 	neutral	0.994	##
15750	अठहत्तरवाँ	ADJECTIVE	1	गणना में अठहत्तर के स्थान पर आने वाला 	future	0.994	##
15825	अठानबेवाँ	ADJECTIVE	1	गणना में अट्ठानबे के स्थान पर आने वाला 	future	0.994	##
15825	अठानवेवाँ	ADJECTIVE	1	गणना में अट्ठानबे के स्थान पर आने वाला 	future	0.994	##
13733	अठारहवाँ	ADJECTIVE	1	गणना में अठारह के स्थान पर आने वाला 	future	0.994	##
15097	अठावनवाँ	ADJECTIVE	1	गणना में अट्ठावन के स्थान पर आने वाला या सत्तावन के बाद का 	future	0.96	##
15780	अठासीवाँ	ADJECTIVE	1	गणना में अट्ठासी के स्थान पर आने वाला 	future	0.994	##
31631	अड़ंगेबाज	ADJECTIVE	1	अड़ंगा अथवा अड़चन डालने वाला 	neutral	0.986	##
31631	अड़ंगेबाज़	ADJECTIVE	1	अड़ंगा अथवा अड़चन डालने वाला 	neutral	0.986	##
545	अड़बल	ADJECTIVE	1	अड़कर चलने वाला या चलते-चलते रुक जाने वाला 	future	0.994	##
545	अड़ियल	ADJECTIVE	1	अड़कर चलने वाला या चलते-चलते रुक जाने वाला 	future	0.994	##
545	अड़ुआ	ADJECTIVE	1	अड़कर चलने वाला या चलते-चलते रुक जाने वाला 	future	0.994	##
34372	अडिशनल	ADJECTIVE	1	नियत, प्रचलित या साधारण से अधिक या जो आवश्यकतावश बाद में जोड़ा या बढ़ाया गया हो 	present	0.849	##
34372	अडिश्नल	ADJECTIVE	1	नियत, प्रचलित या साधारण से अधिक या जो आवश्यकतावश बाद में जोड़ा या बढ़ाया गया हो 	present	0.849	##
2680	अडीठ	ADJECTIVE	1	जिसका ज्ञान नेत्रों से न हो सके या दिखाई न देने वाला 	present	0.997	##
2041	अण्ड-बण्ड	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
3467	अण्डकोशयुक्त	ADJECTIVE	1	जो बधिया न किया गया हो 	present	0.999	##
2041	अण्डबण्ड	ADJECTIVE	1	जो बकवास से भरा हुआ हो 	present	0.995	##
15171	अतर्पी	ADJECTIVE	1	तपस्या न करने वाला 	neutral	0.865	##
15180	अतलसी	ADJECTIVE	1	साटन या अतलस का बना हुआ 	neutral	0.99	##
