INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
6465	0.943	atemporal	9time1
1623	0.924	atemporal	9time1
1655	0.945	atemporal	9time1
8151	0.343	neutral	9time1
2052	0.946	atemporal	9time1
9379	0.929	atemporal	9time1
10455	0.319	past	9time1
1513	0.921	atemporal	9time1
10472	0.933	atemporal	9time1
12146	0.322	past	9time1
8358	0.922	atemporal	9time1
6808	0.943	atemporal	9time1
8352	0.323	present	9time1
8684	0.324	present	9time1
1803	0.941	atemporal	9time1
3903	0.325	past	9time1
9794	0.928	atemporal	9time1
5993	0.918	atemporal	9time1
7401	0.326	present	9time1
12796	0.941	atemporal	9time1
7118	0.351	neutral	9time1
2504	0.957	atemporal	9time1
13754	0.922	atemporal	9time1
2386	0.96	atemporal	9time1
8873	0.939	atemporal	9time1
4844	0.343	neutral	9time1
11341	0.345	neutral	9time1
14337	0.923	atemporal	9time1
14470	0.935	atemporal	9time1
11814	0.921	atemporal	9time1
13124	0.925	atemporal	9time1
14613	0.923	atemporal	9time1
78	0.931	atemporal	9time1
12621	0.311	future	9time1
3221	0.956	atemporal	9time1
1593	0.939	atemporal	9time1
7840	0.957	atemporal	9time1
11242	0.946	atemporal	9time1
2169	0.311	future	9time1
14678	0.925	atemporal	9time1
1509	0.946	atemporal	9time1
5316	0.938	atemporal	9time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
2680	0.962	atemporal	10time1
3916	0.392	neutral	10time1
8315	0.941	atemporal	10time1
5428	0.974	atemporal	10time1
4435	0.969	atemporal	10time1
6768	0.307	past	10time1
8041	0.946	atemporal	10time1
4749	0.344	present	10time1
3007	0.95	atemporal	10time1
3510	0.949	atemporal	10time1
503	0.944	atemporal	10time1
1201	0.347	present	10time1
3941	0.334	future	10time1
235	0.399	neutral	10time1
4049	0.392	neutral	10time1
5678	0.946	atemporal	10time1
6243	0.941	atemporal	10time1
7507	0.304	past	10time1
1416	0.965	atemporal	10time1
5316	0.97	atemporal	10time1
1240	0.945	atemporal	10time1
5544	0.943	atemporal	10time1
5889	0.948	atemporal	10time1
4927	0.975	atemporal	10time1
1899	0.965	atemporal	10time1
1285	0.949	atemporal	10time1
915	0.966	atemporal	10time1
5177	0.332	future	10time1
7650	0.967	atemporal	10time1
2445	0.973	atemporal	10time1
5043	0.347	present	10time1
4522	0.333	future	10time1
5535	0.957	atemporal	10time1
470	0.305	past	10time1
8575	0.333	future	10time1
1216	0.957	atemporal	10time1
785	0.98	atemporal	10time1
8856	0.945	atemporal	10time1
5660	0.964	atemporal	10time1
4604	0.974	atemporal	10time1
1920	0.945	atemporal	10time1
8178	0.949	atemporal	10time1
7295	0.393	neutral	10time1
6254	0.944	atemporal	10time1
4746	0.975	atemporal	10time1
6812	0.946	atemporal	10time1
771	0.349	present	10time1
1536	0.309	past	10time1
1915	0.944	atemporal	10time1
7462	0.952	atemporal	10time1
7192	0.942	atemporal	10time1
898	0.948	atemporal	10time1
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
12933	0.942	atemporal	1time2
1245	0.944	atemporal	1time2
14365	0.95	atemporal	1time2
11785	0.942	atemporal	1time2
10254	0.959	atemporal	1time2
2530	0.404	neutral	1time2
8686	0.347	future	1time2
2923	0.964	atemporal	1time2
8363	0.333	past	1time2
3969	0.969	atemporal	1time2
12287	0.942	atemporal	1time2
7864	0.937	atemporal	1time2
2463	0.945	atemporal	1time2
2236	0.95	atemporal	1time2
4378	0.349	future	1time2
12143	0.94	atemporal	1time2
683	0.947	atemporal	1time2
8353	0.94	atemporal	1time2
13936	0.403	neutral	1time2
4073	0.951	atemporal	1time2
4339	0.945	atemporal	1time2
5912	0.949	atemporal	1time2
10680	0.95	atemporal	1time2
11946	0.346	future	1time2
8889	0.957	atemporal	1time2
13784	0.937	atemporal	1time2
10466	0.94	atemporal	1time2
2848	0.423	neutral	1time2
4539	0.411	neutral	1time2
3038	0.939	atemporal	1time2
3284	0.418	neutral	1time2
2435	0.939	atemporal	1time2
6853	0.368	present	1time2
9095	0.974	atemporal	1time2
3270	0.368	present	1time2
4429	0.938	atemporal	1time2
10539	0.369	present	1time2
4832	0.95	atemporal	1time2
14015	0.955	atemporal	1time2
5534	0.375	present	1time2
13296	0.948	atemporal	1time2
4721	0.937	atemporal	1time2
2302	0.972	atemporal	1time2
936	0.332	past	1time2
12330	0.337	past	1time2
13574	0.951	atemporal	1time2
11037	0.954	atemporal	1time2
2224	0.956	atemporal	1time2
11464	0.948	atemporal	1time2
3757	0.955	atemporal	1time2
1686	0.961	atemporal	1time2
7330	0.95	atemporal	1time2
6708	0.943	atemporal	1time2
14875	0.956	atemporal	1time2
11450	0.946	atemporal	1time2
5974	0.946	atemporal	1time2
8847	0.349	future	1time2
4037	0.954	atemporal	1time2
5952	0.955	atemporal	1time2
9236	0.333	past	1time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
9390	0.329	past	2time2
2391	0.965	atemporal	2time2
9514	0.439	neutral	2time2
7093	0.965	atemporal	2time2
12236	0.332	past	2time2
8076	0.965	atemporal	2time2
7612	0.985	atemporal	2time2
10077	0.967	atemporal	2time2
14586	0.961	atemporal	2time2
131	0.381	present	2time2
296	0.96	atemporal	2time2
10750	0.969	atemporal	2time2
12658	0.956	atemporal	2time2
13663	0.966	atemporal	2time2
2245	0.962	atemporal	2time2
9428	0.967	atemporal	2time2
1809	0.96	atemporal	2time2
11018	0.454	neutral	2time2
8667	0.434	neutral	2time2
4162	0.964	atemporal	2time2
622	0.961	atemporal	2time2
14778	0.966	atemporal	2time2
1955	0.979	atemporal	2time2
12041	0.973	atemporal	2time2
11190	0.964	atemporal	2time2
12385	0.968	atemporal	2time2
8681	0.957	atemporal	2time2
373	0.965	atemporal	2time2
14579	0.389	future	2time2
11767	0.443	neutral	2time2
7795	0.962	atemporal	2time2
9656	0.961	atemporal	2time2
8735	0.958	atemporal	2time2
7036	0.971	atemporal	2time2
10752	0.969	atemporal	2time2
7775	0.44	neutral	2time2
6509	0.965	atemporal	2time2
9349	0.385	future	2time2
2016	0.956	atemporal	2time2
6215	0.958	atemporal	2time2
10350	0.966	atemporal	2time2
10571	0.983	atemporal	2time2
4678	0.44	neutral	2time2
5840	0.329	past	2time2
2672	0.968	atemporal	2time2
12856	0.967	atemporal	2time2
4371	0.963	atemporal	2time2
1234	0.983	atemporal	2time2
6229	0.961	atemporal	2time2
13934	0.387	future	2time2
4196	0.962	atemporal	2time2
1030	0.385	present	2time2
3361	0.969	atemporal	2time2
4333	0.958	atemporal	2time2
10785	0.967	atemporal	2time2
14412	0.339	past	2time2
1250	0.971	atemporal	2time2
2732	0.959	atemporal	2time2
11265	0.386	future	2time2
6751	0.96	atemporal	2time2
4308	0.331	past	2time2
11296	0.958	atemporal	2time2
11989	0.961	atemporal	2time2
4516	0.387	present	2time2
867	0.382	present	2time2
9325	0.956	atemporal	2time2
10896	0.379	present	2time2
1388	0.966	atemporal	2time2
2063	0.966	atemporal	2time2
247	0.389	future	2time2
1917	0.962	atemporal	2time2
9178	0.968	atemporal	2time2
6955	0.986	atemporal	2time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
3065	0.964	atemporal	3time2
8465	0.977	atemporal	3time2
10211	0.972	atemporal	3time2
5015	0.966	atemporal	3time2
2631	0.332	past	3time2
7476	0.484	neutral	3time2
6831	0.97	atemporal	3time2
4926	0.967	atemporal	3time2
3023	0.989	atemporal	3time2
13248	0.971	atemporal	3time2
5326	0.333	past	3time2
8374	0.407	present	3time2
2517	0.975	atemporal	3time2
4929	0.409	present	3time2
1458	0.972	atemporal	3time2
90	0.968	atemporal	3time2
12408	0.494	neutral	3time2
13600	0.408	present	3time2
7541	0.966	atemporal	3time2
2190	0.978	atemporal	3time2
10062	0.396	future	3time2
10075	0.964	atemporal	3time2
5901	0.977	atemporal	3time2
7923	0.983	atemporal	3time2
10853	0.986	atemporal	3time2
5493	0.966	atemporal	3time2
8324	0.97	atemporal	3time2
7352	0.986	atemporal	3time2
2320	0.413	present	3time2
13936	0.396	future	3time2
14723	0.975	atemporal	3time2
14342	0.975	atemporal	3time2
5735	0.981	atemporal	3time2
1600	0.971	atemporal	3time2
6159	0.407	present	3time2
7736	0.396	future	3time2
13678	0.487	neutral	3time2
6511	0.485	neutral	3time2
828	0.484	neutral	3time2
9240	0.972	atemporal	3time2
10624	0.966	atemporal	3time2
7404	0.965	atemporal	3time2
5441	0.974	atemporal	3time2
9232	0.476	neutral	3time2
12349	0.968	atemporal	3time2
1628	0.964	atemporal	3time2
10203	0.397	future	3time2
2524	0.974	atemporal	3time2
11232	0.335	past	3time2
95	0.332	past	3time2
2963	0.972	atemporal	3time2
14715	0.973	atemporal	3time2
4200	0.982	atemporal	3time2
12380	0.968	atemporal	3time2
7916	0.964	atemporal	3time2
8457	0.969	atemporal	3time2
8495	0.981	atemporal	3time2
6180	0.333	past	3time2
13783	0.965	atemporal	3time2
1354	0.965	atemporal	3time2
7182	0.968	atemporal	3time2
12774	0.396	future	3time2
6833	0.968	atemporal	3time2
8581	0.965	atemporal	3time2
12827	0.964	atemporal	3time2
3291	0.979	atemporal	3time2
10052	0.964	atemporal	3time2
4568	0.332	past	3time2
690	0.967	atemporal	3time2
247	0.396	future	3time2
7036	0.967	atemporal	3time2
8403	0.968	atemporal	3time2
1229	0.967	atemporal	3time2
1117	0.97	atemporal	3time2
2668	0.965	atemporal	3time2
3613	0.972	atemporal	3time2
3580	0.97	atemporal	3time2
2427	0.975	atemporal	3time2
10902	0.497	neutral	3time2
13140	0.412	present	3time2
8095	0.966	atemporal	3time2
10539	0.967	atemporal	3time2
4336	0.975	atemporal	3time2
10511	0.977	atemporal	3time2
4380	0.994	atemporal	3time2
4969	0.968	atemporal	3time2
11012	0.964	atemporal	3time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
9976	0.381	past	4time2
13155	0.995	atemporal	4time2
324	0.969	atemporal	4time2
11702	0.979	atemporal	4time2
5004	0.976	atemporal	4time2
5484	0.983	atemporal	4time2
8609	0.438	present	4time2
1183	0.971	atemporal	4time2
14558	0.974	atemporal	4time2
13774	0.662	neutral	4time2
2057	0.463	future	4time2
9632	0.622	neutral	4time2
9837	0.982	atemporal	4time2
4703	0.977	atemporal	4time2
1425	0.976	atemporal	4time2
2383	0.971	atemporal	4time2
13878	0.464	future	4time2
4850	0.443	present	4time2
13519	0.973	atemporal	4time2
11642	0.978	atemporal	4time2
11680	0.437	present	4time2
2066	0.984	atemporal	4time2
11845	0.463	future	4time2
4925	0.971	atemporal	4time2
10918	0.972	atemporal	4time2
10023	0.971	atemporal	4time2
11973	0.971	atemporal	4time2
3335	0.971	atemporal	4time2
14127	0.971	atemporal	4time2
13683	0.972	atemporal	4time2
3647	0.673	neutral	4time2
974	0.97	atemporal	4time2
10202	0.628	neutral	4time2
3586	0.378	past	4time2
8160	0.979	atemporal	4time2
1089	0.976	atemporal	4time2
6614	0.971	atemporal	4time2
14219	0.982	atemporal	4time2
4036	0.971	atemporal	4time2
3426	0.97	atemporal	4time2
1056	0.463	future	4time2
10888	0.97	atemporal	4time2
11123	0.977	atemporal	4time2
8965	0.978	atemporal	4time2
14829	0.975	atemporal	4time2
2625	0.432	present	4time2
13673	0.978	atemporal	4time2
1971	0.973	atemporal	4time2
31	0.973	atemporal	4time2
11927	0.971	atemporal	4time2
9180	0.97	atemporal	4time2
14733	0.971	atemporal	4time2
5527	0.979	atemporal	4time2
190	0.971	atemporal	4time2
941	0.977	atemporal	4time2
10493	0.978	atemporal	4time2
8340	0.379	past	4time2
1827	0.975	atemporal	4time2
6458	0.97	atemporal	4time2
11543	0.463	future	4time2
1424	0.624	neutral	4time2
2670	0.463	future	4time2
1808	0.978	atemporal	4time2
5149	0.975	atemporal	4time2
5337	0.974	atemporal	4time2
1891	0.982	atemporal	4time2
6909	0.972	atemporal	4time2
392	0.973	atemporal	4time2
7266	0.686	neutral	4time2
8309	0.971	atemporal	4time2
6974	0.972	atemporal	4time2
14222	0.452	present	4time2
436	0.438	present	4time2
4717	0.969	atemporal	4time2
14649	0.972	atemporal	4time2
157	0.971	atemporal	4time2
2238	0.972	atemporal	4time2
4648	0.971	atemporal	4time2
12357	0.98	atemporal	4time2
5396	0.464	future	4time2
3947	0.972	atemporal	4time2
1823	0.98	atemporal	4time2
2906	0.977	atemporal	4time2
809	0.978	atemporal	4time2
11912	0.623	neutral	4time2
12132	0.981	atemporal	4time2
9160	0.985	atemporal	4time2
7301	0.97	atemporal	4time2
2049	0.378	past	4time2
4573	0.43	present	4time2
4914	0.97	atemporal	4time2
9595	0.617	neutral	4time2
8442	0.973	atemporal	4time2
6437	0.377	past	4time2
6358	0.971	atemporal	4time2
3541	0.383	past	4time2
1115	0.975	atemporal	4time2
13862	0.983	atemporal	4time2
10254	0.382	past	4time2
9105	0.971	atemporal	4time2
9391	0.986	atemporal	4time2
2386	0.973	atemporal	4time2
13231	0.985	atemporal	4time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
807	0.972	atemporal	5time2
341	0.858	neutral	5time2
10205	0.976	atemporal	5time2
2743	0.855	neutral	5time2
14458	0.97	atemporal	5time2
2952	0.97	atemporal	5time2
7591	0.969	atemporal	5time2
2250	0.445	past	5time2
1193	0.969	atemporal	5time2
4487	0.745	neutral	5time2
1940	0.97	atemporal	5time2
3565	0.977	atemporal	5time2
3100	0.98	atemporal	5time2
6854	0.98	atemporal	5time2
12562	0.975	atemporal	5time2
13153	0.444	past	5time2
11662	0.973	atemporal	5time2
2316	0.975	atemporal	5time2
1916	0.808	neutral	5time2
13618	0.97	atemporal	5time2
4748	0.972	atemporal	5time2
3835	0.969	atemporal	5time2
7768	0.457	future	5time2
939	0.978	atemporal	5time2
1141	0.969	atemporal	5time2
14255	0.458	future	5time2
12830	0.971	atemporal	5time2
9276	0.977	atemporal	5time2
14164	0.723	neutral	5time2
14533	0.972	atemporal	5time2
1772	0.755	neutral	5time2
8556	0.977	atemporal	5time2
6612	0.969	atemporal	5time2
3988	0.449	past	5time2
13949	0.972	atemporal	5time2
13720	0.979	atemporal	5time2
1888	0.975	atemporal	5time2
13300	0.986	atemporal	5time2
8423	0.969	atemporal	5time2
2572	0.968	atemporal	5time2
13780	0.968	atemporal	5time2
11910	0.968	atemporal	5time2
8389	0.97	atemporal	5time2
13372	0.971	atemporal	5time2
12379	0.443	past	5time2
3296	0.968	atemporal	5time2
6934	0.97	atemporal	5time2
8012	0.462	present	5time2
10336	0.968	atemporal	5time2
1718	0.972	atemporal	5time2
8467	0.969	atemporal	5time2
1629	0.969	atemporal	5time2
5056	0.969	atemporal	5time2
1139	0.458	future	5time2
1935	0.469	present	5time2
8463	0.461	present	5time2
13565	0.443	past	5time2
9754	0.974	atemporal	5time2
10640	0.985	atemporal	5time2
13706	0.969	atemporal	5time2
5584	0.97	atemporal	5time2
11772	0.46	future	5time2
12771	0.971	atemporal	5time2
7920	0.971	atemporal	5time2
1395	0.972	atemporal	5time2
1159	0.969	atemporal	5time2
11938	0.968	atemporal	5time2
12082	0.973	atemporal	5time2
273	0.974	atemporal	5time2
1996	0.972	atemporal	5time2
7633	0.726	neutral	5time2
12419	0.833	neutral	5time2
2879	0.445	past	5time2
13450	0.984	atemporal	5time2
11823	0.988	atemporal	5time2
1664	0.974	atemporal	5time2
3689	0.459	future	5time2
1650	0.972	atemporal	5time2
9978	0.978	atemporal	5time2
14384	0.97	atemporal	5time2
9595	0.981	atemporal	5time2
13692	0.456	future	5time2
5172	0.441	past	5time2
9117	0.46	present	5time2
8605	0.97	atemporal	5time2
4194	0.969	atemporal	5time2
684	0.974	atemporal	5time2
2933	0.977	atemporal	5time2
5310	0.97	atemporal	5time2
5358	0.967	atemporal	5time2
11762	0.976	atemporal	5time2
7797	0.973	atemporal	5time2
13869	0.973	atemporal	5time2
4996	0.987	atemporal	5time2
14858	0.98	atemporal	5time2
1047	0.459	future	5time2
3322	0.461	present	5time2
9593	0.457	future	5time2
11891	0.971	atemporal	5time2
9415	0.459	present	5time2
6649	0.972	atemporal	5time2
7570	0.459	present	5time2
12822	0.968	atemporal	5time2
8950	0.974	atemporal	5time2
7552	0.97	atemporal	5time2
4019	0.734	neutral	5time2
5672	0.974	atemporal	5time2
11937	0.971	atemporal	5time2
12061	0.969	atemporal	5time2
2470	0.971	atemporal	5time2
414	0.969	atemporal	5time2
4166	0.984	atemporal	5time2
8442	0.97	atemporal	5time2
10030	0.968	atemporal	5time2
9216	0.976	atemporal	5time2
9401	0.477	present	5time2
14179	0.983	atemporal	5time2
4566	0.973	atemporal	5time2
2242	0.968	atemporal	5time2
11238	0.981	atemporal	5time2
6925	0.973	atemporal	5time2
13762	0.444	past	5time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
11214	0.975	atemporal	6time2
669	0.976	atemporal	6time2
2960	0.978	atemporal	6time2
1596	0.972	atemporal	6time2
2251	0.971	atemporal	6time2
14583	0.718	neutral	6time2
1089	0.694	neutral	6time2
4802	0.97	atemporal	6time2
11006	0.453	future	6time2
4192	0.971	atemporal	6time2
4957	0.97	atemporal	6time2
4578	0.976	atemporal	6time2
2633	0.979	atemporal	6time2
468	0.983	atemporal	6time2
5436	0.976	atemporal	6time2
6914	0.974	atemporal	6time2
14520	0.974	atemporal	6time2
12593	0.973	atemporal	6time2
6544	0.979	atemporal	6time2
10200	0.432	past	6time2
3387	0.97	atemporal	6time2
3870	0.971	atemporal	6time2
14727	0.725	neutral	6time2
8298	0.978	atemporal	6time2
6098	0.974	atemporal	6time2
10307	0.972	atemporal	6time2
7100	0.971	atemporal	6time2
9853	0.453	future	6time2
369	0.434	past	6time2
241	0.973	atemporal	6time2
11941	0.983	atemporal	6time2
8309	0.978	atemporal	6time2
1403	0.978	atemporal	6time2
5117	0.982	atemporal	6time2
10668	0.448	future	6time2
13183	0.981	atemporal	6time2
13239	0.973	atemporal	6time2
3545	0.85	neutral	6time2
9158	0.447	present	6time2
8880	0.455	present	6time2
7622	0.975	atemporal	6time2
326	0.973	atemporal	6time2
8126	0.975	atemporal	6time2
14027	0.97	atemporal	6time2
11007	0.973	atemporal	6time2
3533	0.449	present	6time2
11960	0.976	atemporal	6time2
14342	0.982	atemporal	6time2
2819	0.971	atemporal	6time2
10183	0.977	atemporal	6time2
5004	0.426	past	6time2
5764	0.975	atemporal	6time2
9390	0.99	atemporal	6time2
7684	0.971	atemporal	6time2
8440	0.972	atemporal	6time2
13281	0.971	atemporal	6time2
987	0.973	atemporal	6time2
12159	0.978	atemporal	6time2
11758	0.974	atemporal	6time2
6521	0.975	atemporal	6time2
132	0.745	neutral	6time2
4372	0.97	atemporal	6time2
5909	0.978	atemporal	6time2
2211	0.97	atemporal	6time2
10018	0.972	atemporal	6time2
13147	0.974	atemporal	6time2
13868	0.971	atemporal	6time2
2950	0.973	atemporal	6time2
13167	0.97	atemporal	6time2
5303	0.982	atemporal	6time2
4323	0.974	atemporal	6time2
6031	0.974	atemporal	6time2
2907	0.972	atemporal	6time2
4659	0.976	atemporal	6time2
8281	0.971	atemporal	6time2
11378	0.97	atemporal	6time2
14336	0.973	atemporal	6time2
8985	0.97	atemporal	6time2
4969	0.985	atemporal	6time2
9431	0.971	atemporal	6time2
5918	0.977	atemporal	6time2
12660	0.973	atemporal	6time2
11895	0.978	atemporal	6time2
859	0.973	atemporal	6time2
8432	0.446	present	6time2
5263	0.986	atemporal	6time2
3354	0.971	atemporal	6time2
7050	0.975	atemporal	6time2
4996	0.981	atemporal	6time2
6789	0.972	atemporal	6time2
10366	0.977	atemporal	6time2
12169	0.979	atemporal	6time2
7572	0.974	atemporal	6time2
7724	0.971	atemporal	6time2
2274	0.435	past	6time2
11391	0.977	atemporal	6time2
9307	0.981	atemporal	6time2
8603	0.981	atemporal	6time2
6329	0.446	present	6time2
12988	0.444	present	6time2
7978	0.971	atemporal	6time2
13448	0.986	atemporal	6time2
10940	0.973	atemporal	6time2
284	0.451	future	6time2
3190	0.433	past	6time2
9163	0.976	atemporal	6time2
8284	0.733	neutral	6time2
7795	0.974	atemporal	6time2
12546	0.97	atemporal	6time2
11292	0.427	past	6time2
7443	0.757	neutral	6time2
7632	0.455	future	6time2
11691	0.97	atemporal	6time2
6755	0.977	atemporal	6time2
2397	0.765	neutral	6time2
708	0.972	atemporal	6time2
14221	0.976	atemporal	6time2
1391	0.451	future	6time2
1623	0.97	atemporal	6time2
11312	0.448	future	6time2
7010	0.976	atemporal	6time2
14000	0.973	atemporal	6time2
2283	0.444	present	6time2
2608	0.994	atemporal	6time2
1811	0.971	atemporal	6time2
9751	0.98	atemporal	6time2
6301	0.97	atemporal	6time2
3394	0.428	past	6time2
12830	0.981	atemporal	6time2
4692	0.448	future	6time2
2518	0.432	past	6time2
7197	0.714	neutral	6time2
14059	0.97	atemporal	6time2
13505	0.703	neutral	6time2
5997	0.97	atemporal	6time2
8192	0.449	future	6time2
10417	0.972	atemporal	6time2
3281	0.98	atemporal	6time2
10152	0.972	atemporal	6time2
7344	0.445	present	6time2
13785	0.971	atemporal	6time2
5348	0.972	atemporal	6time2
8766	0.448	present	6time2
12187	0.427	past	6time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
12895	0.977	atemporal	7time2
5279	0.791	neutral	7time2
7711	0.496	present	7time2
13841	0.977	atemporal	7time2
3102	0.437	past	7time2
4470	0.976	atemporal	7time2
11565	0.992	atemporal	7time2
14395	0.98	atemporal	7time2
2936	0.977	atemporal	7time2
10191	0.978	atemporal	7time2
2652	0.438	past	7time2
6501	0.979	atemporal	7time2
7008	0.977	atemporal	7time2
1846	0.976	atemporal	7time2
13560	0.982	atemporal	7time2
4602	0.976	atemporal	7time2
13592	0.994	atemporal	7time2
3806	0.983	atemporal	7time2
10304	0.491	present	7time2
3416	0.982	atemporal	7time2
215	0.482	future	7time2
6095	0.979	atemporal	7time2
12348	0.978	atemporal	7time2
1839	0.976	atemporal	7time2
