@relation timetagging

@attribute gloss String
@attribute tense {past,present,future,neutral,atemporal}



@data
' किसी नई, विलक्ष्ण या असाधारण बात को देखने, सुनने या ध्यान में आने पर मन में उठने वाला भाव, प्रदर्शित होना',atemporal
' वह रिश्ता जो अपने ही बाप-दादा का संबंधी होने के कारण हो या एक ही वंश में उत्पन्न होने से बना रिश्ता',atemporal
' वह भारतीय जिसके पास भारतीय पासपोर्ट हो पर जो रोजगार, आवास, शिक्षा या किसी अन्य उद्देश्य से विदेश में रह रहा हो',atemporal
' समय पर नहीं',neutral
' बहुत अधिक समय',neutral
' पहले से ही लगाया जानेवाला अनुमान',future
' जैसी आशा या प्रत्याशा की गई हो',future
' अधिक से अधिक जितना हो सकता हो या सबसे अधिक',atemporal
' आगे चलकर होने वाली वह बात जो पहले से ही किसी ने कह दी हो',future
' * एक लंबा समय',neutral
' जो वर्तमान काल से संबंधित हो या वर्तमान काल का',present
' आने वाला काल या समय',future
' जो शरीर के अंदर पहुँचकर उष्णता या ताप उत्पन्न करता हो या जिसकी तासीर या प्रभाव तापकारक हो (औषध या खाद्य पदार्थ)',atemporal
' जिसका कुछ विशेष महत्व हो या जिसकी उपयोगिता आदि मान्य हो और जिसका दूसरी बातों पर प्रभाव पड़ता हो',atemporal
' ऐसा समय जिसमें अतिवृष्टि या अनावृष्टि के कारण अन्न बहुत ही कठिनता से मिले या अन्न की कमी हो',neutral
' जिसमें बल या शक्ति हो या जोरदार',atemporal
' जिसकी इच्छा की गई हो',future
' किसी व्यक्ति के कार्य, गतिविधि आदि पर इस प्रकार ध्यान रखना कि कोई अनौचित्य या सीमा का उल्लंघन न होने पाए',atemporal
' बीता हुआ',past
' जो इस समय हो या चल रहा हो',present
' इस तरफ़ या इस ओर',atemporal
' अधिक से अधिक जितना हो सकता हो या सबसे अधिक',atemporal
' व्याकरण में वह काल जो वर्तमान समय से आगे की क्रियाओं या अवस्थाओं को बताता है',future
