

=== Predictions on test data ===

 inst#     actual  predicted error prediction
    79        1:? 2:atempora       0.999 
    80        1:? 1:temporal       0.63 
    81        1:? 2:atempora       0.976 
    82        1:? 2:atempora       0.889 
    83        1:? 2:atempora       0.997 
    84        1:? 2:atempora       1 
    85        1:? 2:atempora       0.999 
    86        1:? 1:temporal       0.743 
    87        1:? 2:atempora       0.979 
    88        1:? 2:atempora       0.678 
    89        1:? 2:atempora       0.978 
    90        1:? 2:atempora       0.718 
    91        1:? 1:temporal       0.858 
    92        1:? 2:atempora       0.944 
    93        1:? 2:atempora       1 
    94        1:? 2:atempora       1 
    95        1:? 2:atempora       0.974 
    96        1:? 2:atempora       0.986 
    97        1:? 2:atempora       0.867 
    98        1:? 1:temporal       0.63 
    99        1:? 2:atempora       0.819 
   100        1:? 2:atempora       1 
   101        1:? 2:atempora       1 
   102        1:? 1:temporal       0.652 
   103        1:? 1:temporal       0.993 
   104        1:? 2:atempora       0.525 
   105        1:? 2:atempora       0.99 
   106        1:? 2:atempora       0.999 
   107        1:? 2:atempora       0.768 
   108        1:? 1:temporal       0.532 
   109        1:? 2:atempora       0.616 
   110        1:? 2:atempora       1 
   111        1:? 2:atempora       0.999 
   112        1:? 1:temporal       0.63 
   113        1:? 2:atempora       0.998 
   114        1:? 2:atempora       0.999 
   115        1:? 2:atempora       1 
   116        1:? 2:atempora       0.998 
   117        1:? 2:atempora       0.996 
   118        1:? 1:temporal       0.634 
   119        1:? 2:atempora       0.758 
   120        1:? 1:temporal       1 
   121        1:? 2:atempora       0.902 
   122        1:? 1:temporal       0.993 
   123        1:? 1:temporal       0.682 
   124        1:? 2:atempora       0.991 
   125        1:? 2:atempora       0.994 
   126        1:? 2:atempora       0.947 
   127        1:? 2:atempora       1 
   128        1:? 1:temporal       1 
   129        1:? 1:temporal       0.99 
   130        1:? 2:atempora       0.517 
   131        1:? 2:atempora       0.677 
   132        1:? 2:atempora       1 
   133        1:? 2:atempora       1 
   134        1:? 1:temporal       1 
   135        1:? 1:temporal       0.673 
   136        1:? 2:atempora       0.994 
   137        1:? 2:atempora       1 
   138        1:? 2:atempora       0.984 
   139        1:? 2:atempora       0.989 
   140        1:? 2:atempora       0.81 
   141        1:? 2:atempora       0.678 
   142        1:? 1:temporal       0.54 
   143        1:? 2:atempora       0.994 
   144        1:? 2:atempora       1 
   145        1:? 1:temporal       0.857 
   146        1:? 2:atempora       0.994 
   147        1:? 2:atempora       0.983 
   148        1:? 1:temporal       0.998 
   149        1:? 1:temporal       0.99 
   150        1:? 2:atempora       1 
   151        1:? 1:temporal       0.969 
   152        1:? 1:temporal       0.54 
   153        1:? 2:atempora       0.658 
   154        1:? 2:atempora       0.995 
   155        1:? 2:atempora       1 
   156        1:? 1:temporal       0.968 
   157        1:? 1:temporal       0.823 
   158        1:? 1:temporal       0.84 
   159        1:? 2:atempora       0.867 
   160        1:? 2:atempora       0.952 
   161        1:? 2:atempora       0.969 
   162        1:? 1:temporal       0.565 
   163        1:? 2:atempora       1 
   164        1:? 2:atempora       0.998 
   165        1:? 2:atempora       1 
   166        1:? 1:temporal       0.999 
   167        1:? 2:atempora       0.973 
   168        1:? 2:atempora       0.979 
   169        1:? 2:atempora       0.967 
   170        1:? 2:atempora       0.819 
   171        1:? 1:temporal       0.63 
   172        1:? 2:atempora       0.979 
   173        1:? 2:atempora       0.972 
   174        1:? 2:atempora       0.999 
   175        1:? 2:atempora       1 
   176        1:? 2:atempora       0.94 
   177        1:? 2:atempora       0.985 
   178        1:? 1:temporal       0.63 
   179        1:? 2:atempora       0.839 
   180        1:? 2:atempora       0.994 
   181        1:? 2:atempora       1 
   182        1:? 2:atempora       1 
   183        1:? 1:temporal       0.84 
   184        1:? 2:atempora       0.742 
   185        1:? 2:atempora       1 
   186        1:? 2:atempora       1 
   187        1:? 1:temporal       0.857 
   188        1:? 2:atempora       0.995 
   189        1:? 2:atempora       1 
   190        1:? 2:atempora       0.998 
   191        1:? 2:atempora       0.982 
   192        1:? 2:atempora       0.985 
   193        1:? 2:atempora       0.926 
   194        1:? 2:atempora       0.645 
   195        1:? 2:atempora       0.867 
   196        1:? 1:temporal       0.84 
   197        1:? 1:temporal       0.84 
   198        1:? 2:atempora       0.936 
   199        1:? 2:atempora       0.775 
   200        1:? 1:temporal       0.867 
   201        1:? 1:temporal       0.943 
   202        1:? 1:temporal       0.796 
   203        1:? 1:temporal       0.85 
   204        1:? 1:temporal       0.84 
   205        1:? 1:temporal       0.898 
   206        1:? 1:temporal       0.744 
   207        1:? 1:temporal       0.84 
   208        1:? 2:atempora       0.758 
   209        1:? 1:temporal       0.63 
   210        1:? 2:atempora       1 
   211        1:? 2:atempora       0.992 
   212        1:? 1:temporal       0.969 
   213        1:? 1:temporal       0.63 
   214        1:? 2:atempora       0.907 
   215        1:? 2:atempora       0.979 
   216        1:? 2:atempora       1 
   217        1:? 2:atempora       0.999 
   218        1:? 2:atempora       0.515 
   219        1:? 2:atempora       1 
   220        1:? 2:atempora       0.999 
   221        1:? 1:temporal       0.569 
   222        1:? 2:atempora       0.999 
   223        1:? 2:atempora       0.998 
   224        1:? 1:temporal       0.997 
   225        1:? 1:temporal       0.993 
   226        1:? 2:atempora       0.957 
   227        1:? 1:temporal       1 
   228        1:? 2:atempora       0.99 
   229        1:? 2:atempora       0.996 
   230        1:? 2:atempora       1 
   231        1:? 2:atempora       0.807 
   232        1:? 2:atempora       0.985 
   233        1:? 2:atempora       1 
   234        1:? 2:atempora       0.999 
   235        1:? 1:temporal       0.957 
   236        1:? 2:atempora       1 
   237        1:? 2:atempora       0.568 
   238        1:? 2:atempora       0.991 
   239        1:? 2:atempora       0.818 
   240        1:? 1:temporal       0.742 
   241        1:? 2:atempora       0.83 
   242        1:? 2:atempora       0.678 
   243        1:? 2:atempora       0.584 
   244        1:? 2:atempora       0.989 
   245        1:? 2:atempora       0.996 
   246        1:? 2:atempora       0.972 
   247        1:? 2:atempora       0.656 
   248        1:? 2:atempora       0.986 
   249        1:? 2:atempora       0.551 
   250        1:? 2:atempora       0.999 
   251        1:? 2:atempora       0.867 
   252        1:? 2:atempora       0.924 
   253        1:? 2:atempora       0.994 
   254        1:? 2:atempora       0.99 
   255        1:? 2:atempora       0.97 
   256        1:? 2:atempora       0.999 
   257        1:? 2:atempora       0.982 
   258        1:? 2:atempora       0.964 
   259        1:? 2:atempora       0.907 
   260        1:? 2:atempora       1 
   261        1:? 2:atempora       1 
   262        1:? 2:atempora       0.626 
   263        1:? 2:atempora       0.528 
   264        1:? 2:atempora       1 
   265        1:? 2:atempora       1 
   266        1:? 1:temporal       0.54 
   267        1:? 1:temporal       0.557 
   268        1:? 1:temporal       0.63 
   269        1:? 2:atempora       1 
   270        1:? 1:temporal       0.84 
   271        1:? 2:atempora       0.994 
   272        1:? 2:atempora       0.996 
   273        1:? 2:atempora       1 
   274        1:? 1:temporal       0.52 
   275        1:? 1:temporal       0.739 
   276        1:? 1:temporal       0.857 
   277        1:? 1:temporal       0.517 
   278        1:? 2:atempora       0.81 
   279        1:? 2:atempora       1 
   280        1:? 1:temporal       0.676 
   281        1:? 2:atempora       0.949 
   282        1:? 2:atempora       0.746 
   283        1:? 1:temporal       0.532 
   284        1:? 2:atempora       0.99 
   285        1:? 1:temporal       0.779 
   286        1:? 2:atempora       0.629 
   287        1:? 2:atempora       0.867 
   288        1:? 2:atempora       0.678 
   289        1:? 2:atempora       1 
   290        1:? 2:atempora       1 
   291        1:? 2:atempora       0.907 
   292        1:? 2:atempora       0.522 
   293        1:? 2:atempora       0.856 
   294        1:? 1:temporal       0.857 
   295        1:? 2:atempora       1 
   296        1:? 1:temporal       1 
   297        1:? 2:atempora       1 
   298        1:? 2:atempora       0.972 
   299        1:? 2:atempora       0.851 
   300        1:? 2:atempora       0.867 
   301        1:? 2:atempora       0.857 
   302        1:? 2:atempora       0.998 
   303        1:? 2:atempora       0.904 
   304        1:? 2:atempora       1 
   305        1:? 2:atempora       1 
   306        1:? 1:temporal       0.84 
   307        1:? 2:atempora       0.988 
   308        1:? 1:temporal       0.84 
   309        1:? 2:atempora       0.992 
   310        1:? 2:atempora       0.839 
   311        1:? 2:atempora       1 
   312        1:? 2:atempora       1 
   313        1:? 1:temporal       0.857 
   314        1:? 2:atempora       1 
   315        1:? 2:atempora       0.957 
   316        1:? 2:atempora       0.956 
   317        1:? 2:atempora       0.991 
   318        1:? 1:temporal       0.995 
   319        1:? 2:atempora       0.678 
   320        1:? 2:atempora       0.996 
   321        1:? 2:atempora       0.906 
   322        1:? 2:atempora       0.987 
   323        1:? 2:atempora       1 
   324        1:? 2:atempora       1 
   325        1:? 1:temporal       0.55 
   326        1:? 2:atempora       0.925 
   327        1:? 2:atempora       0.968 
   328        1:? 2:atempora       0.999 
   329        1:? 1:temporal       0.528 
   330        1:? 2:atempora       1 
   331        1:? 1:temporal       1 
   332        1:? 2:atempora       0.998 
   333        1:? 2:atempora       0.999 
   334        1:? 2:atempora       0.995 
   335        1:? 2:atempora       1 
   336        1:? 1:temporal       0.73 
   337        1:? 2:atempora       0.629 
   338        1:? 2:atempora       0.998 
   339        1:? 1:temporal       0.84 
   340        1:? 2:atempora       0.506 
   341        1:? 2:atempora       1 
   342        1:? 1:temporal       0.898 
   343        1:? 2:atempora       0.994 
   344        1:? 2:atempora       0.766 
   345        1:? 1:temporal       0.968 
   346        1:? 1:temporal       0.808 
   347        1:? 2:atempora       0.999 
   348        1:? 2:atempora       0.922 
   349        1:? 1:temporal       0.92 
   350        1:? 2:atempora       0.678 
   351        1:? 2:atempora       1 
   352        1:? 1:temporal       0.969 
   353        1:? 1:temporal       0.842 
   354        1:? 2:atempora       0.815 
   355        1:? 1:temporal       0.99 
   356        1:? 2:atempora       0.93 
   357        1:? 1:temporal       0.84 
   358        1:? 1:temporal       0.634 
   359        1:? 2:atempora       0.988 
   360        1:? 2:atempora       0.996 
   361        1:? 1:temporal       0.857 
   362        1:? 2:atempora       0.867 
   363        1:? 2:atempora       0.805 
   364        1:? 1:temporal       0.739 
   365        1:? 1:temporal       0.969 
   366        1:? 1:temporal       0.808 
   367        1:? 2:atempora       0.998 
   368        1:? 2:atempora       1 
   369        1:? 2:atempora       0.999 
   370        1:? 2:atempora       0.609 
   371        1:? 2:atempora       1 
   372        1:? 2:atempora       1 
   373        1:? 1:temporal       0.84 
   374        1:? 2:atempora       0.989 
   375        1:? 1:temporal       0.563 
   376        1:? 2:atempora       1 
   377        1:? 1:temporal       0.955 
   378        1:? 2:atempora       0.996 
   379        1:? 2:atempora       0.954 
   380        1:? 2:atempora       0.678 
   381        1:? 2:atempora       0.568 
   382        1:? 2:atempora       0.725 
   383        1:? 1:temporal       0.634 
   384        1:? 2:atempora       0.974 
   385        1:? 2:atempora       0.984 
   386        1:? 1:temporal       0.84 
   387        1:? 2:atempora       0.998 
   388        1:? 1:temporal       0.84 
   389        1:? 2:atempora       0.678 
   390        1:? 2:atempora       0.907 
   391        1:? 1:temporal       0.737 
   392        1:? 2:atempora       0.844 
   393        1:? 2:atempora       0.949 
   394        1:? 2:atempora       0.804 
   395        1:? 2:atempora       1 
   396        1:? 2:atempora       1 
   397        1:? 1:temporal       0.867 
   398        1:? 2:atempora       0.969 
   399        1:? 2:atempora       0.972 
   400        1:? 2:atempora       0.947 
   401        1:? 2:atempora       0.766 
   402        1:? 2:atempora       0.993 
   403        1:? 1:temporal       0.739 
   404        1:? 1:temporal       0.987 
   405        1:? 2:atempora       1 
   406        1:? 2:atempora       0.999 
   407        1:? 2:atempora       0.994 
   408        1:? 2:atempora       1 
   409        1:? 1:temporal       0.63 
   410        1:? 1:temporal       0.563 
   411        1:? 2:atempora       1 
   412        1:? 2:atempora       0.617 
   413        1:? 2:atempora       1 
   414        1:? 2:atempora       0.95 
   415        1:? 2:atempora       1 
   416        1:? 1:temporal       0.532 
   417        1:? 2:atempora       0.867 
   418        1:? 2:atempora       1 
   419        1:? 1:temporal       0.708 
   420        1:? 2:atempora       1 
   421        1:? 2:atempora       0.97 
   422        1:? 1:temporal       0.99 
   423        1:? 2:atempora       1 
   424        1:? 2:atempora       1 
   425        1:? 1:temporal       0.899 
   426        1:? 2:atempora       1 
   427        1:? 2:atempora       1 
   428        1:? 2:atempora       0.999 
   429        1:? 1:temporal       0.999 
   430        1:? 2:atempora       0.993 
   431        1:? 1:temporal       0.726 
   432        1:? 2:atempora       1 
   433        1:? 2:atempora       0.999 
   434        1:? 2:atempora       0.768 
   435        1:? 1:temporal       0.854 
   436        1:? 2:atempora       1 
   437        1:? 1:temporal       0.63 
   438        1:? 2:atempora       0.954 
   439        1:? 2:atempora       0.994 
   440        1:? 2:atempora       1 
   441        1:? 2:atempora       1 
   442        1:? 1:temporal       0.812 
   443        1:? 2:atempora       0.796 
   444        1:? 2:atempora       0.536 
   445        1:? 1:temporal       0.532 
   446        1:? 2:atempora       0.984 
   447        1:? 2:atempora       0.909 
   448        1:? 2:atempora       1 
   449        1:? 2:atempora       0.775 
   450        1:? 1:temporal       0.532 
   451        1:? 1:temporal       1 
   452        1:? 1:temporal       0.722 
   453        1:? 1:temporal       0.509 
   454        1:? 2:atempora       0.995 
   455        1:? 2:atempora       0.994 
   456        1:? 2:atempora       0.972 
   457        1:? 1:temporal       0.899 
   458        1:? 2:atempora       0.993 
   459        1:? 2:atempora       1 
   460        1:? 1:temporal       0.961 
   461        1:? 2:atempora       1 
   462        1:? 1:temporal       0.737 
   463        1:? 1:temporal       0.954 
   464        1:? 2:atempora       0.996 
   465        1:? 2:atempora       1 
   466        1:? 2:atempora       0.961 
   467        1:? 2:atempora       0.656 
   468        1:? 2:atempora       0.999 
   469        1:? 1:temporal       0.854 
   470        1:? 2:atempora       1 
   471        1:? 1:temporal       0.952 
   472        1:? 2:atempora       1 
   473        1:? 2:atempora       1 
   474        1:? 1:temporal       0.935 
   475        1:? 2:atempora       0.678 
   476        1:? 2:atempora       1 
   477        1:? 2:atempora       0.886 
   478        1:? 1:temporal       0.898 
   479        1:? 2:atempora       0.936 
   480        1:? 2:atempora       0.994 
   481        1:? 1:temporal       0.673 
   482        1:? 1:temporal       0.833 
   483        1:? 1:temporal       0.65 
   484        1:? 2:atempora       0.998 
   485        1:? 2:atempora       0.734 
   486        1:? 1:temporal       0.64 
   487        1:? 2:atempora       0.678 
   488        1:? 2:atempora       0.917 
   489        1:? 1:temporal       0.92 
   490        1:? 2:atempora       0.999 
   491        1:? 2:atempora       0.904 
   492        1:? 2:atempora       0.851 
   493        1:? 1:temporal       0.581 
   494        1:? 2:atempora       0.941 
   495        1:? 2:atempora       0.839 
   496        1:? 2:atempora       1 
   497        1:? 2:atempora       0.972 
   498        1:? 1:temporal       0.995 
   499        1:? 2:atempora       0.945 
   500        1:? 2:atempora       0.775 
   501        1:? 2:atempora       0.973 
   502        1:? 2:atempora       1 
   503        1:? 2:atempora       1 
   504        1:? 2:atempora       1 
   505        1:? 2:atempora       0.999 
   506        1:? 2:atempora       0.689 
   507        1:? 2:atempora       0.91 
   508        1:? 2:atempora       0.867 
   509        1:? 2:atempora       1 
   510        1:? 2:atempora       0.844 
   511        1:? 1:temporal       0.63 
   512        1:? 1:temporal       1 
   513        1:? 1:temporal       0.898 
   514        1:? 2:atempora       1 
   515        1:? 1:temporal       0.92 
   516        1:? 2:atempora       0.997 
   517        1:? 2:atempora       0.513 
   518        1:? 2:atempora       1 
   519        1:? 1:temporal       0.569 
   520        1:? 2:atempora       1 
   521        1:? 2:atempora       1 
   522        1:? 2:atempora       1 
   523        1:? 2:atempora       0.997 
   524        1:? 1:temporal       0.867 
   525        1:? 2:atempora       0.996 
   526        1:? 2:atempora       0.995 
   527        1:? 2:atempora       0.998 
   528        1:? 2:atempora       0.995 
   529        1:? 2:atempora       1 
   530        1:? 2:atempora       0.629 
   531        1:? 1:temporal       0.778 
   532        1:? 2:atempora       0.867 
   533        1:? 2:atempora       1 
   534        1:? 2:atempora       1 
   535        1:? 2:atempora       0.994 
   536        1:? 2:atempora       0.996 
   537        1:? 2:atempora       1 
   538        1:? 1:temporal       0.84 
   539        1:? 2:atempora       0.867 
   540        1:? 2:atempora       1 
   541        1:? 2:atempora       0.655 
   542        1:? 2:atempora       0.999 
   543        1:? 1:temporal       0.73 
   544        1:? 2:atempora       0.966 
   545        1:? 2:atempora       0.867 
   546        1:? 1:temporal       0.729 
   547        1:? 2:atempora       1 
   548        1:? 2:atempora       1 
   549        1:? 2:atempora       0.999 
   550        1:? 2:atempora       0.839 
   551        1:? 1:temporal       0.84 
   552        1:? 2:atempora       0.999 
   553        1:? 1:temporal       0.784 
   554        1:? 2:atempora       0.629 
   555        1:? 2:atempora       1 
   556        1:? 2:atempora       1 
   557        1:? 2:atempora       0.996 
   558        1:? 1:temporal       0.808 
   559        1:? 2:atempora       0.999 
   560        1:? 1:temporal       0.889 
   561        1:? 2:atempora       0.981 
   562        1:? 2:atempora       0.994 
   563        1:? 1:temporal       0.84 
   564        1:? 2:atempora       0.972 
   565        1:? 2:atempora       0.911 
   566        1:? 1:temporal       0.953 
   567        1:? 2:atempora       1 
   568        1:? 2:atempora       0.994 
   569        1:? 2:atempora       0.998 
   570        1:? 2:atempora       0.548 
   571        1:? 2:atempora       1 
   572        1:? 2:atempora       0.936 
   573        1:? 2:atempora       0.999 
   574        1:? 2:atempora       0.907 
   575        1:? 2:atempora       0.759 
   576        1:? 2:atempora       0.976 
   577        1:? 1:temporal       0.936 
   578        1:? 2:atempora       0.98 
   579        1:? 2:atempora       0.994 
   580        1:? 2:atempora       0.999 
   581        1:? 2:atempora       0.678 
   582        1:? 2:atempora       1 
   583        1:? 2:atempora       1 
   584        1:? 2:atempora       0.84 
   585        1:? 1:temporal       0.94 
   586        1:? 2:atempora       0.913 
   587        1:? 2:atempora       0.678 
   588        1:? 2:atempora       0.979 
   589        1:? 2:atempora       0.953 
   590        1:? 2:atempora       0.999 
   591        1:? 1:temporal       0.63 
   592        1:? 2:atempora       0.97 
   593        1:? 2:atempora       0.987 
   594        1:? 2:atempora       0.972 
   595        1:? 2:atempora       0.996 
   596        1:? 1:temporal       0.63 
   597        1:? 2:atempora       0.678 
   598        1:? 2:atempora       0.913 
   599        1:? 2:atempora       0.867 
   600        1:? 2:atempora       1 
   601        1:? 2:atempora       0.994 
   602        1:? 2:atempora       0.904 
   603        1:? 2:atempora       0.678 
   604        1:? 2:atempora       1 
   605        1:? 2:atempora       0.682 
   606        1:? 2:atempora       1 
   607        1:? 2:atempora       0.994 
   608        1:? 2:atempora       0.783 
   609        1:? 2:atempora       1 
   610        1:? 2:atempora       0.882 
   611        1:? 2:atempora       1 
   612        1:? 2:atempora       0.867 
   613        1:? 2:atempora       0.758 
   614        1:? 2:atempora       0.979 
   615        1:? 2:atempora       0.972 
   616        1:? 2:atempora       0.867 
   617        1:? 2:atempora       0.797 
   618        1:? 2:atempora       1 
   619        1:? 2:atempora       0.718 
   620        1:? 2:atempora       0.989 
   621        1:? 2:atempora       1 
   622        1:? 2:atempora       0.999 
   623        1:? 2:atempora       0.981 
   624        1:? 2:atempora       0.999 
   625        1:? 2:atempora       1 
   626        1:? 1:temporal       0.898 
   627        1:? 2:atempora       1 
   628        1:? 1:temporal       0.673 
   629        1:? 2:atempora       0.81 
   630        1:? 2:atempora       0.998 
   631        1:? 2:atempora       0.972 
   632        1:? 2:atempora       0.907 
   633        1:? 2:atempora       0.678 
   634        1:? 2:atempora       0.673 
   635        1:? 2:atempora       0.999 
   636        1:? 2:atempora       0.839 
   637        1:? 2:atempora       1 
   638        1:? 2:atempora       0.704 
   639        1:? 2:atempora       1 
   640        1:? 2:atempora       0.839 
   641        1:? 1:temporal       0.968 
   642        1:? 1:temporal       0.942 
   643        1:? 2:atempora       0.963 
   644        1:? 2:atempora       0.925 
   645        1:? 2:atempora       0.998 
   646        1:? 2:atempora       1 
   647        1:? 2:atempora       1 
   648        1:? 2:atempora       1 
   649        1:? 2:atempora       0.913 
   650        1:? 2:atempora       1 
   651        1:? 2:atempora       0.998 
   652        1:? 2:atempora       0.834 
   653        1:? 2:atempora       0.729 
   654        1:? 2:atempora       1 
   655        1:? 2:atempora       0.863 
   656        1:? 2:atempora       1 
   657        1:? 1:temporal       1 
   658        1:? 2:atempora       1 
   659        1:? 2:atempora       0.999 
   660        1:? 2:atempora       0.979 
   661        1:? 2:atempora       0.972 
   662        1:? 2:atempora       0.678 
   663        1:? 1:temporal       0.63 
   664        1:? 2:atempora       1 
   665        1:? 2:atempora       0.999 
   666        1:? 2:atempora       1 
   667        1:? 1:temporal       0.996 
   668        1:? 2:atempora       1 
   669        1:? 2:atempora       1 
   670        1:? 2:atempora       0.984 
   671        1:? 1:temporal       0.901 
   672        1:? 2:atempora       1 
   673        1:? 2:atempora       0.994 
   674        1:? 2:atempora       1 
   675        1:? 2:atempora       0.729 
   676        1:? 2:atempora       1 
   677        1:? 1:temporal       0.92 
   678        1:? 2:atempora       1 
   679        1:? 2:atempora       1 
   680        1:? 2:atempora       0.969 
   681        1:? 2:atempora       0.997 
   682        1:? 2:atempora       0.864 
   683        1:? 2:atempora       1 
   684        1:? 2:atempora       0.678 
   685        1:? 2:atempora       0.972 
   686        1:? 2:atempora       1 
   687        1:? 2:atempora       0.85 
   688        1:? 1:temporal       0.823 
   689        1:? 2:atempora       0.999 
   690        1:? 2:atempora       1 
   691        1:? 2:atempora       1 
   692        1:? 1:temporal       0.63 
   693        1:? 2:atempora       1 
   694        1:? 2:atempora       0.867 
   695        1:? 2:atempora       0.854 
   696        1:? 2:atempora       0.708 
   697        1:? 2:atempora       0.936 
   698        1:? 1:temporal       0.845 
   699        1:? 1:temporal       0.81 
   700        1:? 2:atempora       0.867 
   701        1:? 2:atempora       1 
   702        1:? 2:atempora       0.979 
   703        1:? 2:atempora       0.678 
   704        1:? 2:atempora       0.999 
   705        1:? 1:temporal       0.547 
   706        1:? 2:atempora       0.984 
   707        1:? 2:atempora       0.853 
   708        1:? 1:temporal       1 
   709        1:? 1:temporal       0.985 
   710        1:? 2:atempora       0.904 
   711        1:? 2:atempora       0.969 
   712        1:? 2:atempora       0.931 
   713        1:? 1:temporal       0.857 
   714        1:? 2:atempora       1 
   715        1:? 2:atempora       1 
   716        1:? 2:atempora       0.656 
   717        1:? 2:atempora       0.85 
   718        1:? 2:atempora       0.559 
   719        1:? 1:temporal       0.988 
   720        1:? 2:atempora       0.678 
   721        1:? 2:atempora       0.995 
   722        1:? 2:atempora       0.966 
   723        1:? 2:atempora       0.944 
   724        1:? 2:atempora       1 
   725        1:? 2:atempora       1 
   726        1:? 2:atempora       1 
   727        1:? 1:temporal       0.947 
   728        1:? 2:atempora       0.748 
   729        1:? 2:atempora       0.998 
   730        1:? 2:atempora       0.954 
   731        1:? 2:atempora       0.936 
   732        1:? 1:temporal       0.625 
   733        1:? 1:temporal       0.667 
   734        1:? 2:atempora       1 
   735        1:? 2:atempora       0.992 
   736        1:? 2:atempora       1 
   737        1:? 1:temporal       1 
   738        1:? 2:atempora       0.988 
   739        1:? 2:atempora       0.854 
   740        1:? 2:atempora       0.996 
   741        1:? 1:temporal       0.817 
   742        1:? 2:atempora       0.867 
   743        1:? 2:atempora       1 
   744        1:? 2:atempora       1 
   745        1:? 2:atempora       0.869 
   746        1:? 1:temporal       0.897 
   747        1:? 2:atempora       1 
   748        1:? 2:atempora       0.979 
   749        1:? 2:atempora       0.913 
   750        1:? 2:atempora       0.999 
   751        1:? 1:temporal       0.828 
   752        1:? 2:atempora       0.861 
   753        1:? 1:temporal       0.988 
   754        1:? 2:atempora       0.739 
   755        1:? 2:atempora       0.99 
   756        1:? 2:atempora       0.906 
   757        1:? 2:atempora       0.678 
   758        1:? 2:atempora       0.886 
   759        1:? 2:atempora       0.678 
   760        1:? 2:atempora       0.999 
   761        1:? 2:atempora       1 
   762        1:? 2:atempora       0.998 
   763        1:? 2:atempora       0.53 
   764        1:? 2:atempora       0.949 
   765        1:? 2:atempora       0.742 
   766        1:? 2:atempora       1 
   767        1:? 2:atempora       1 
   768        1:? 1:temporal       0.63 
   769        1:? 2:atempora       0.881 
   770        1:? 2:atempora       0.88 
   771        1:? 2:atempora       0.986 
   772        1:? 2:atempora       0.995 
   773        1:? 2:atempora       0.742 
   774        1:? 2:atempora       0.604 
   775        1:? 2:atempora       1 
   776        1:? 2:atempora       1 
   777        1:? 2:atempora       0.956 
   778        1:? 2:atempora       0.64 
   779        1:? 2:atempora       0.975 
   780        1:? 2:atempora       1 
   781        1:? 2:atempora       0.936 
   782        1:? 2:atempora       0.983 
   783        1:? 2:atempora       0.969 
   784        1:? 2:atempora       0.678 
   785        1:? 2:atempora       0.615 
   786        1:? 1:temporal       0.898 
   787        1:? 2:atempora       0.999 
   788        1:? 2:atempora       1 
   789        1:? 2:atempora       0.984 
   790        1:? 2:atempora       1 
   791        1:? 2:atempora       1 
   792        1:? 2:atempora       0.608 
   793        1:? 1:temporal       0.854 
   794        1:? 1:temporal       0.722 
   795        1:? 2:atempora       0.981 
