INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
990	0.64	present	2time2
580	0.443	past	2time2
1515	0.91	neutral	2time2
1952	0.917	neutral	2time2
813	0.897	neutral	2time2
1777	0.439	past	2time2
1383	0.894	neutral	2time2
413	0.647	present	2time2
1623	0.445	future	2time2
1516	0.924	neutral	2time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
611	0.909	neutral	3time2
1768	0.846	present	3time2
1974	0.692	future	3time2
4	0.692	future	3time2
1501	0.832	present	3time2
1919	0.862	neutral	3time2
537	0.902	neutral	3time2
2003	0.876	neutral	3time2
1492	0.84	present	3time2
1826	0.692	future	3time2
1611	0.905	neutral	3time2
1699	0.846	present	3time2
168	0.915	neutral	3time2
111	0.862	neutral	3time2
734	0.488	past	3time2
1203	0.889	neutral	3time2
548	0.692	future	3time2
585	0.537	past	3time2
985	0.862	neutral	3time2
1065	0.492	past	3time2
1890	0.845	present	3time2
1779	0.884	neutral	3time2
996	0.522	past	3time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
901	0.908	neutral	4time2
1171	0.921	neutral	4time2
192	0.657	future	4time2
290	0.657	future	4time2
1419	0.721	present	4time2
1732	0.907	neutral	4time2
205	0.796	present	4time2
305	0.657	future	4time2
1851	0.907	neutral	4time2
1408	0.95	neutral	4time2
789	0.445	past	4time2
911	0.468	past	4time2
1538	0.772	present	4time2
1302	0.926	neutral	4time2
125	0.731	present	4time2
1835	0.55	past	4time2
1767	0.947	neutral	4time2
683	0.747	present	4time2
1227	0.453	past	4time2
1191	0.924	neutral	4time2
307	0.657	future	4time2
1407	0.936	neutral	4time2
172	0.851	present	4time2
1455	0.464	past	4time2
467	0.945	neutral	4time2
1515	0.956	neutral	4time2
1435	0.917	neutral	4time2
294	0.657	future	4time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1397	0.583	future	5time2
1832	0.916	neutral	5time2
265	0.761	present	5time2
1141	0.905	neutral	5time2
467	0.668	future	5time2
69	0.505	past	5time2
1158	0.658	present	5time2
1778	0.606	future	5time2
1544	0.523	past	5time2
156	0.886	neutral	5time2
83	0.934	neutral	5time2
296	0.62	past	5time2
1855	0.916	neutral	5time2
130	0.578	future	5time2
1873	0.495	past	5time2
364	0.682	present	5time2
1813	0.919	neutral	5time2
1155	0.657	present	5time2
1307	0.899	neutral	5time2
1860	0.627	future	5time2
784	0.917	neutral	5time2
1075	0.892	neutral	5time2
638	0.758	present	5time2
728	0.886	neutral	5time2
1717	0.64	present	5time2
709	0.529	past	5time2
1119	0.663	present	5time2
79	0.482	past	5time2
1997	0.94	neutral	5time2
16	0.951	neutral	5time2
1913	0.911	neutral	5time2
1681	0.566	future	5time2
1996	0.885	neutral	5time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1852	0.857	present	6time2
1251	0.926	neutral	6time2
87	0.847	future	6time2
1084	0.841	present	6time2
1996	0.926	neutral	6time2
869	0.912	present	6time2
821	0.756	past	6time2
183	0.861	present	6time2
1544	0.964	future	6time2
1327	0.924	present	6time2
647	0.973	neutral	6time2
902	0.963	neutral	6time2
1922	0.76	past	6time2
1953	0.956	neutral	6time2
977	0.956	future	6time2
1906	0.964	future	6time2
682	0.938	neutral	6time2
934	0.964	future	6time2
692	0.762	past	6time2
687	0.947	neutral	6time2
112	0.931	neutral	6time2
2003	0.967	present	6time2
49	0.942	neutral	6time2
1917	0.956	future	6time2
1104	0.786	past	6time2
2002	0.812	past	6time2
1033	0.932	neutral	6time2
550	0.956	neutral	6time2
26	0.961	neutral	6time2
565	0.966	present	6time2
825	0.943	present	6time2
81	0.964	future	6time2
605	0.798	past	6time2
1386	0.951	neutral	6time2
880	0.957	neutral	6time2
1143	0.911	past	6time2
1138	0.941	neutral	6time2
1265	0.946	neutral	6time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1436	0.983	present	7time2
1469	0.728	future	7time2
151	0.874	past	7time2
640	0.908	neutral	7time2
425	0.834	past	7time2
1001	0.927	neutral	7time2
862	0.708	future	7time2
672	0.808	present	7time2
214	0.958	neutral	7time2
999	0.917	neutral	7time2
1557	0.909	neutral	7time2
1007	0.908	neutral	7time2
227	0.83	present	7time2
1024	0.954	neutral	7time2
952	0.974	future	7time2
988	0.84	past	7time2
908	0.909	neutral	7time2
353	0.877	past	7time2
725	0.921	neutral	7time2
449	0.703	future	7time2
301	0.913	past	7time2
1544	0.876	present	7time2
801	0.972	present	7time2
1997	0.902	neutral	7time2
948	0.909	neutral	7time2
1895	0.934	neutral	7time2
123	0.924	neutral	7time2
1968	0.899	neutral	7time2
996	0.927	neutral	7time2
365	0.974	future	7time2
15	0.906	neutral	7time2
632	0.751	future	7time2
417	0.968	present	7time2
217	0.847	past	7time2
1249	0.818	future	7time2
1708	0.793	present	7time2
1472	0.861	past	7time2
12	0.948	present	7time2
236	0.922	neutral	7time2
947	0.86	present	7time2
1055	0.921	neutral	7time2
1839	0.797	future	7time2
822	0.831	past	7time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
512	0.828	past	8time2
1967	0.97	future	8time2
96	0.904	neutral	8time2
1517	0.886	present	8time2
1862	0.977	future	8time2
1279	0.835	past	8time2
70	0.83	present	8time2
562	0.779	present	8time2
574	0.76	present	8time2
721	0.904	neutral	8time2
610	0.949	neutral	8time2
1322	0.888	past	8time2
1844	0.905	neutral	8time2
130	0.92	neutral	8time2
1385	0.92	neutral	8time2
419	0.913	neutral	8time2
1507	0.756	future	8time2
1800	0.836	past	8time2
150	0.74	future	8time2
886	0.951	neutral	8time2
807	0.903	present	8time2
1275	0.936	neutral	8time2
436	0.766	future	8time2
50	0.826	past	8time2
1982	0.97	future	8time2
256	0.833	past	8time2
198	0.874	past	8time2
890	0.918	neutral	8time2
1238	0.927	neutral	8time2
843	0.833	present	8time2
921	0.895	present	8time2
176	0.819	present	8time2
1179	0.85	past	8time2
683	0.912	neutral	8time2
525	0.856	present	8time2
1354	0.767	future	8time2
1118	0.894	present	8time2
279	0.942	neutral	8time2
1301	0.924	neutral	8time2
1200	0.904	neutral	8time2
1384	0.917	neutral	8time2
1281	0.824	future	8time2
539	0.935	neutral	8time2
228	0.953	neutral	8time2
609	0.903	neutral	8time2
399	0.908	neutral	8time2
1204	0.794	future	8time2
1223	0.912	neutral	8time2
22	0.852	past	8time2
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1199	0.923	neutral	1time3
1207	0.988	present	1time3
656	0.941	neutral	1time3
959	0.988	present	1time3
1861	0.926	neutral	1time3
53	0.926	neutral	1time3
1461	0.92	neutral	1time3
967	0.935	neutral	1time3
1945	0.626	past	1time3
1914	0.604	past	1time3
1108	0.947	neutral	1time3
248	0.988	future	1time3
1022	0.92	neutral	1time3
1789	0.829	past	1time3
1994	0.933	neutral	1time3
1970	0.988	future	1time3
1656	0.935	neutral	1time3
9	0.988	future	1time3
10	0.988	future	1time3
877	0.959	neutral	1time3
1054	0.954	neutral	1time3
213	0.68	past	1time3
1200	0.924	neutral	1time3
560	0.981	present	1time3
5	0.988	future	1time3
386	0.988	future	1time3
790	0.987	present	1time3
634	0.56	past	1time3
1962	0.988	future	1time3
1965	0.988	future	1time3
623	0.558	past	1time3
176	0.542	past	1time3
1591	0.671	past	1time3
1153	0.92	neutral	1time3
569	0.981	present	1time3
391	0.981	present	1time3
1451	0.981	present	1time3
1248	0.923	neutral	1time3
6	0.988	future	1time3
1343	0.93	neutral	1time3
970	0.959	neutral	1time3
1523	0.981	present	1time3
768	0.647	past	1time3
1868	0.988	present	1time3
832	0.959	neutral	1time3
1896	0.949	neutral	1time3
192	0.981	present	1time3
156	0.694	past	1time3
218	0.923	neutral	1time3
1805	0.935	neutral	1time3
1182	0.927	neutral	1time3
240	0.988	future	1time3
430	0.981	present	1time3
1044	0.959	neutral	1time3
1509	0.981	present	1time3
616	0.943	neutral	1time3
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
531	0.935	neutral	2time3
1834	0.993	future	2time3
993	0.993	future	2time3
1043	0.936	neutral	2time3
1339	0.937	neutral	2time3
964	0.981	present	2time3
1465	0.993	future	2time3
358	0.936	neutral	2time3
340	0.843	past	2time3
183	0.993	future	2time3
10	0.936	neutral	2time3
184	0.993	future	2time3
1867	0.981	present	2time3
1853	0.565	past	2time3
1224	0.952	neutral	2time3
1879	0.981	present	2time3
851	0.982	present	2time3
1008	0.838	past	2time3
144	0.928	neutral	2time3
352	0.936	neutral	2time3
1363	0.914	past	2time3
535	0.936	neutral	2time3
946	0.993	future	2time3
169	0.993	present	2time3
944	0.993	future	2time3
1274	0.936	neutral	2time3
1650	0.86	past	2time3
1163	0.951	neutral	2time3
582	0.661	past	2time3
988	0.993	future	2time3
1502	0.951	neutral	2time3
980	0.974	present	2time3
985	0.993	future	2time3
1200	0.928	neutral	2time3
14	0.936	neutral	2time3
337	0.928	neutral	2time3
545	0.54	past	2time3
141	0.98	present	2time3
1360	0.993	future	2time3
9	0.563	past	2time3
514	0.554	past	2time3
518	0.956	neutral	2time3
1982	0.993	future	2time3
699	0.928	neutral	2time3
620	0.844	past	2time3
873	0.98	present	2time3
423	0.936	neutral	2time3
997	0.928	neutral	2time3
62	0.983	present	2time3
600	0.928	neutral	2time3
1081	0.536	past	2time3
1888	0.928	neutral	2time3
1486	0.98	present	2time3
569	0.928	neutral	2time3
947	0.993	future	2time3
157	0.981	present	2time3
245	0.951	neutral	2time3
239	0.981	present	2time3
130	0.956	neutral	2time3
1198	0.943	neutral	2time3
1427	0.642	past	2time3
267	0.956	neutral	2time3
433	0.936	neutral	2time3
1903	0.973	present	2time3
1918	0.928	neutral	2time3
1448	0.981	present	2time3
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1557	0.923	neutral	3time3
618	0.993	future	3time3
1094	0.932	neutral	3time3
383	0.93	neutral	3time3
1889	0.989	present	3time3
792	0.952	neutral	3time3
623	0.993	future	3time3
1935	0.768	past	3time3
507	0.936	neutral	3time3
635	0.927	neutral	3time3
1709	0.932	neutral	3time3
811	0.952	neutral	3time3
1807	0.993	future	3time3
453	0.926	neutral	3time3
1381	0.96	neutral	3time3
282	0.991	future	3time3
125	0.554	past	3time3
1812	0.991	future	3time3
1220	0.932	neutral	3time3
1915	0.989	present	3time3
1701	0.989	present	3time3
488	0.71	past	3time3
641	0.99	future	3time3
1028	0.952	neutral	3time3
420	0.826	past	3time3
319	0.989	present	3time3
732	0.932	neutral	3time3
18	0.932	neutral	3time3
364	0.932	neutral	3time3
35	0.935	neutral	3time3
141	0.947	neutral	3time3
349	0.632	past	3time3
442	0.932	neutral	3time3
151	0.938	neutral	3time3
564	0.932	neutral	3time3
350	0.864	past	3time3
1208	0.993	future	3time3
1257	0.952	neutral	3time3
906	0.989	present	3time3
1816	0.988	present	3time3
1324	0.989	present	3time3
830	0.556	past	3time3
589	0.991	future	3time3
673	0.932	neutral	3time3
1031	0.923	neutral	3time3
538	0.952	neutral	3time3
1975	0.99	future	3time3
1667	0.991	future	3time3
147	0.902	past	3time3
339	0.989	present	3time3
1171	0.989	present	3time3
1030	0.932	neutral	3time3
160	0.563	past	3time3
957	0.932	neutral	3time3
1825	0.989	present	3time3
1514	0.932	neutral	3time3
616	0.993	future	3time3
307	0.572	past	3time3
1236	0.932	neutral	3time3
550	0.993	future	3time3
355	0.989	present	3time3
518	0.986	present	3time3
1809	0.993	future	3time3
1586	0.952	neutral	3time3
516	0.982	present	3time3
1820	0.993	future	3time3
1305	0.937	neutral	3time3
525	0.942	neutral	3time3
1806	0.932	neutral	3time3
1251	0.981	present	3time3
1911	0.983	present	3time3
2000	0.534	past	3time3
1745	0.534	past	3time3
468	0.603	past	3time3
1430	0.989	present	3time3
240	0.565	past	3time3
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
369	0.936	neutral	4time3
636	0.96	neutral	4time3
798	0.96	neutral	4time3
813	0.953	neutral	4time3
910	0.934	neutral	4time3
446	0.95	neutral	4time3
1329	0.954	past	4time3
791	0.957	past	4time3
1490	0.963	past	4time3
1392	0.803	future	4time3
40	0.944	neutral	4time3
302	0.993	future	4time3
85	0.905	present	4time3
836	0.972	past	4time3
776	0.77	future	4time3
138	0.871	future	4time3
1629	0.944	neutral	4time3
1727	0.952	neutral	4time3
1614	0.928	neutral	4time3
1544	0.9	present	4time3
1267	0.783	future	4time3
1462	0.964	neutral	4time3
12	0.86	present	4time3
182	0.96	neutral	4time3
1897	0.939	neutral	4time3
14	0.969	present	4time3
912	0.976	past	4time3
102	0.995	future	4time3
796	0.962	past	4time3
1270	0.866	present	4time3
1352	0.765	future	4time3
2000	0.935	neutral	4time3
86	0.966	neutral	4time3
1825	0.926	neutral	4time3
856	0.959	neutral	4time3
285	0.916	future	4time3
1325	0.951	past	4time3
1628	0.952	neutral	4time3
110	0.954	present	4time3
733	0.958	neutral	4time3
1591	0.985	past	4time3
1853	0.915	present	4time3
1976	0.968	neutral	4time3
608	0.905	future	4time3
52	0.938	neutral	4time3
1438	0.921	present	4time3
536	0.939	neutral	4time3
1894	0.963	neutral	4time3
92	0.926	present	4time3
1871	0.834	future	4time3
132	0.857	present	4time3
814	0.994	past	4time3
186	0.896	present	4time3
1934	0.863	future	4time3
815	0.991	past	4time3
443	0.949	neutral	4time3
1434	0.929	neutral	4time3
228	0.965	present	4time3
1288	0.963	neutral	4time3
1847	0.995	past	4time3
1287	0.931	neutral	4time3
1589	0.954	neutral	4time3
1429	0.947	neutral	4time3
1421	0.907	present	4time3
1405	0.974	present	4time3
822	0.954	past	4time3
1987	0.973	past	4time3
1801	0.973	past	4time3
1530	0.952	past	4time3
1650	0.933	neutral	4time3
329	0.95	neutral	4time3
147	0.952	neutral	4time3
58	0.928	present	4time3
95	0.944	neutral	4time3
53	0.948	neutral	4time3
430	0.825	future	4time3
1417	0.833	present	4time3
122	0.838	present	4time3
501	0.847	future	4time3
320	0.993	future	4time3
289	0.994	future	4time3
1111	0.953	past	4time3
317	0.989	future	4time3
898	0.956	neutral	4time3
1878	0.956	neutral	4time3
876	0.942	neutral	4time3
1345	0.964	present	4time3
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
902	0.812	present	5time3
1640	0.953	neutral	5time3
845	0.829	present	5time3
1905	0.791	present	5time3
1536	0.744	future	5time3
883	0.948	neutral	5time3
198	0.933	neutral	5time3
1646	0.836	present	5time3
306	0.711	future	5time3
476	0.931	past	5time3
487	0.791	future	5time3
718	0.988	past	5time3
1667	0.948	past	5time3
716	0.936	past	5time3
1308	0.956	neutral	5time3
1765	0.943	past	5time3
1186	0.941	past	5time3
1165	0.829	present	5time3
899	0.829	present	5time3
840	0.729	future	5time3
693	0.943	neutral	5time3
1633	0.75	future	5time3
1222	0.933	past	5time3
226	0.938	past	5time3
1517	0.708	future	5time3
1525	0.728	present	5time3
793	0.93	neutral	5time3
1643	0.965	neutral	5time3
1233	0.962	past	5time3
944	0.964	neutral	5time3
1197	0.799	present	5time3
1702	0.714	present	5time3
1052	0.983	past	5time3
956	0.797	future	5time3
737	0.943	neutral	5time3
2000	0.944	neutral	5time3
1082	0.769	present	5time3
1543	0.782	future	5time3
54	0.943	neutral	5time3
810	0.983	neutral	5time3
1710	0.943	neutral	5time3
1270	0.933	neutral	5time3
426	0.981	neutral	5time3
756	0.716	future	5time3
1592	0.969	past	5time3
1502	0.931	neutral	5time3
669	0.943	neutral	5time3
1858	0.776	future	5time3
1856	0.932	neutral	5time3
1132	0.812	present	5time3
1059	0.695	present	5time3
1262	0.937	neutral	5time3
184	0.731	future	5time3
571	0.951	neutral	5time3
138	0.946	neutral	5time3
458	0.85	present	5time3
742	0.974	neutral	5time3
1908	0.785	present	5time3
1135	0.933	neutral	5time3
1481	0.942	neutral	5time3
1843	0.953	neutral	5time3
27	0.94	present	5time3
20	0.964	neutral	5time3
288	0.983	past	5time3
1898	0.753	future	5time3
918	0.955	past	5time3
95	0.826	present	5time3
861	0.943	neutral	5time3
111	0.95	neutral	5time3
980	0.982	past	5time3
751	0.943	neutral	5time3
1362	0.675	present	5time3
846	0.812	present	5time3
528	0.711	future	5time3
1462	0.955	neutral	5time3
134	0.708	present	5time3
1447	0.709	future	5time3
1972	0.946	past	5time3
456	0.961	neutral	5time3
1164	0.948	neutral	5time3
1731	0.934	neutral	5time3
294	0.732	future	5time3
1069	0.953	neutral	5time3
831	0.923	past	5time3
1625	0.93	neutral	5time3
153	0.754	future	5time3
1901	0.943	neutral	5time3
87	0.946	neutral	5time3
1610	0.663	present	5time3
203	0.943	neutral	5time3
879	0.937	neutral	5time3
1367	0.994	past	5time3
182	0.759	present	5time3
298	0.899	future	5time3
193	0.946	neutral	5time3
1892	0.953	neutral	5time3
1847	0.975	past	5time3
1676	0.976	neutral	5time3
1948	0.785	future	5time3
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1577	0.815	present	6time3
1123	0.965	neutral	6time3
1636	0.976	neutral	6time3
377	0.947	neutral	6time3
887	0.961	present	6time3
999	0.65	present	6time3
261	0.948	past	6time3
347	0.966	neutral	6time3
367	0.864	present	6time3
1210	0.638	present	6time3
306	0.8	future	6time3
730	0.975	neutral	6time3
1530	0.85	future	6time3
378	0.92	future	6time3
1068	0.819	future	6time3
228	0.598	present	6time3
992	0.987	past	6time3
1616	0.954	neutral	6time3
213	0.931	present	6time3
855	0.967	neutral	6time3
1600	0.728	present	6time3
699	0.975	neutral	6time3
713	0.975	neutral	6time3
497	0.915	present	6time3
579	0.956	neutral	6time3
1399	0.992	present	6time3
1451	0.975	neutral	6time3
653	0.968	present	6time3
1625	0.975	neutral	6time3
587	0.968	neutral	6time3
1939	0.784	future	6time3
871	0.807	future	6time3
1284	0.968	present	6time3
703	0.683	present	6time3
1934	0.969	past	6time3
1965	0.968	neutral	6time3
1463	0.958	neutral	6time3
249	0.983	neutral	6time3
763	0.938	past	6time3
1471	0.934	future	6time3
1127	0.956	neutral	6time3
379	0.95	neutral	6time3
1609	0.968	neutral	6time3
1649	0.947	neutral	6time3
1436	0.966	neutral	6time3
302	0.956	neutral	6time3
473	0.939	past	6time3
1482	0.973	past	6time3
546	0.961	neutral	6time3
817	0.973	neutral	6time3
305	0.956	neutral	6time3
142	0.633	present	6time3
73	0.947	neutral	6time3
1168	0.978	past	6time3
321	0.994	past	6time3
913	0.922	future	6time3
1279	0.968	neutral	6time3
1314	0.804	future	6time3
1173	0.95	past	6time3
1154	0.935	past	6time3
1956	0.952	past	6time3
840	0.8	future	6time3
1975	0.976	neutral	6time3
1555	0.942	past	6time3
203	0.626	present	6time3
1849	0.87	future	6time3
1951	0.969	past	6time3
561	0.949	neutral	6time3
1891	0.856	future	6time3
1643	0.967	past	6time3
1929	0.972	neutral	6time3
1513	0.963	neutral	6time3
948	0.992	present	6time3
727	0.975	neutral	6time3
96	0.968	neutral	6time3
1001	0.95	future	6time3
1058	0.978	neutral	6time3
630	0.975	neutral	6time3
595	0.643	present	6time3
51	0.959	neutral	6time3
765	0.798	future	6time3
1392	0.968	neutral	6time3
685	0.968	past	6time3
1186	0.851	future	6time3
135	0.803	future	6time3
12	0.639	present	6time3
1183	0.772	future	6time3
227	0.956	neutral	6time3
1054	0.962	past	6time3
1756	0.979	neutral	6time3
1299	0.96	neutral	6time3
1280	0.961	neutral	6time3
44	0.905	present	6time3
877	0.956	neutral	6time3
316	0.842	future	6time3
1686	0.986	past	6time3
1767	0.869	present	6time3
1065	0.975	neutral	6time3
154	0.772	future	6time3
1491	0.977	past	6time3
949	0.991	present	6time3
755	0.956	neutral	6time3
1958	0.936	past	6time3
1304	0.952	neutral	6time3
1377	0.952	neutral	6time3
1572	0.932	present	6time3
1323	0.776	future	6time3
1268	0.626	present	6time3
885	0.868	future	6time3
1286	0.981	past	6time3
1893	0.971	neutral	6time3
837	0.985	past	6time3
1400	0.991	present	6time3
288	0.956	neutral	6time3
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1528	0.996	present	7time3
1482	0.958	past	7time3
1717	0.848	future	7time3
569	0.97	neutral	7time3
1991	0.917	present	7time3
1573	0.994	neutral	7time3
35	0.966	neutral	7time3
1422	0.701	present	7time3
1118	0.826	future	7time3
1959	0.967	neutral	7time3
88	0.823	future	7time3
894	0.962	past	7time3
344	0.973	neutral	7time3
976	0.96	past	7time3
1128	0.96	neutral	7time3
346	0.939	past	7time3
27	0.973	neutral	7time3
380	0.986	neutral	7time3
1737	0.956	neutral	7time3
411	0.869	future	7time3
375	0.828	future	7time3
127	0.955	neutral	7time3
1594	0.694	present	7time3
779	0.801	future	7time3
478	0.981	neutral	7time3
1984	0.957	neutral	7time3
116	0.937	past	7time3
1697	0.95	past	7time3
931	0.958	neutral	7time3
1077	0.963	past	7time3
1950	0.886	future	7time3
1563	0.99	past	7time3
733	0.974	neutral	7time3
260	0.98	past	7time3
1470	0.98	past	7time3
98	0.986	neutral	7time3
967	0.922	past	7time3
663	0.986	neutral	7time3
2	0.785	future	7time3
1630	0.958	neutral	7time3
1033	0.918	future	7time3
1486	0.739	present	7time3
97	0.938	future	7time3
1610	0.77	present	7time3
852	0.876	future	7time3
1609	0.979	neutral	7time3
1605	0.983	neutral	7time3
1257	0.865	future	7time3
1043	0.844	present	7time3
1176	0.963	neutral	7time3
1504	0.815	future	7time3
1962	0.96	neutral	7time3
1820	0.982	neutral	7time3
593	0.681	present	7time3
1238	0.996	present	7time3
382	0.971	present	7time3
1237	0.996	present	7time3
243	0.674	present	7time3
507	0.986	neutral	7time3
1687	0.996	present	7time3
573	0.891	present	7time3
1918	0.982	neutral	7time3
1112	0.952	neutral	7time3
100	0.82	future	7time3
1665	0.898	present	7time3
321	0.806	future	7time3
495	0.967	neutral	7time3
1836	0.969	neutral	7time3
1660	0.959	neutral	7time3
963	0.938	present	7time3
200	0.905	present	7time3
212	0.996	past	7time3
1553	0.996	present	7time3
1688	0.996	present	7time3
465	0.966	neutral	7time3
1961	0.966	neutral	7time3
942	0.985	neutral	7time3
1252	0.95	neutral	7time3
1197	0.989	neutral	7time3
327	0.91	future	7time3
349	0.942	past	7time3
67	0.797	future	7time3
681	0.971	neutral	7time3
1527	0.996	present	7time3
1629	0.97	neutral	7time3
237	0.927	past	7time3
945	0.981	neutral	7time3
241	0.658	present	7time3
981	0.889	future	7time3
30	0.966	neutral	7time3
564	0.938	present	7time3
924	0.84	future	7time3
155	0.974	neutral	7time3
1082	0.857	future	7time3
448	0.542	present	7time3
1423	0.955	neutral	7time3
142	0.982	neutral	7time3
431	0.938	past	7time3
1998	0.968	neutral	7time3
1192	0.929	past	7time3
188	0.927	past	7time3
1516	0.814	future	7time3
1683	0.977	neutral	7time3
886	0.977	neutral	7time3
577	0.969	neutral	7time3
1210	0.931	past	7time3
334	0.948	past	7time3
1758	0.966	neutral	7time3
388	0.868	future	7time3
1558	0.996	present	7time3
1844	0.98	neutral	7time3
1131	0.982	neutral	7time3
1462	0.586	present	7time3
876	0.954	past	7time3
2002	0.976	neutral	7time3
170	0.943	neutral	7time3
1620	0.956	past	7time3
1337	0.985	past	7time3
634	0.941	past	7time3
1656	0.944	neutral	7time3
1031	0.577	present	7time3
1255	0.975	neutral	7time3
1468	0.694	present	7time3
1297	0.9	future	7time3
1403	0.987	neutral	7time3
986	0.966	neutral	7time3
907	0.988	neutral	7time3
1418	0.781	future	7time3
946	0.986	neutral	7time3
1621	0.958	neutral	7time3
1824	0.566	present	7time3
253	0.982	past	7time3
INSTANCE NO	PREDICTION VALUE	Tense	ITERATION NO
1365	0.422	present	8time3
1608	0.996	past	8time3
56	0.973	future	8time3
600	0.975	neutral	8time3
763	0.987	neutral	8time3
1045	0.973	neutral	8time3
138	0.884	future	8time3
630	0.959	neutral	8time3
1073	0.921	future	8time3
684	0.88	future	8time3
1692	0.987	neutral	8time3
1152	0.947	past	8time3
1460	0.699	present	8time3
402	0.547	present	8time3
700	0.944	neutral	8time3
976	0.923	neutral	8time3
1148	0.931	neutral	8time3
162	0.901	past	8time3
1691	0.92	future	8time3
658	0.987	neutral	8time3
394	0.909	past	8time3
693	0.88	future	8time3
1272	0.9	neutral	8time3
987	0.976	neutral	8time3
1415	0.98	past	8time3
1269	0.987	neutral	8time3
1338	0.935	neutral	8time3
