

=== Predictions on test data ===

 inst#     actual  predicted error prediction
    58        1:? 1:temporal       0.697 
    59        1:? 2:atempora       0.698 
    60        1:? 1:temporal       0.508 
    61        1:? 1:temporal       0.625 
    62        1:? 1:temporal       0.555 
    63        1:? 2:atempora       0.848 
    64        1:? 2:atempora       0.79 
    65        1:? 2:atempora       0.596 
    66        1:? 2:atempora       0.551 
    67        1:? 2:atempora       0.759 
    68        1:? 2:atempora       0.538 
    69        1:? 1:temporal       0.547 
    70        1:? 1:temporal       0.547 
    71        1:? 2:atempora       0.792 
    72        1:? 1:temporal       0.609 
    73        1:? 1:temporal       0.681 
    74        1:? 1:temporal       0.724 
    75        1:? 1:temporal       0.674 
    76        1:? 1:temporal       0.748 
    77        1:? 1:temporal       0.638 
    78        1:? 2:atempora       0.726 
    79        1:? 1:temporal       0.615 
    80        1:? 1:temporal       0.583 
    81        1:? 2:atempora       0.597 
    82        1:? 2:atempora       0.511 
    83        1:? 1:temporal       0.734 
    84        1:? 2:atempora       0.546 
    85        1:? 2:atempora       0.716 
    86        1:? 1:temporal       0.646 
    87        1:? 1:temporal       0.537 
    88        1:? 1:temporal       0.643 
    89        1:? 2:atempora       0.63 
    90        1:? 1:temporal       0.632 
    91        1:? 2:atempora       0.574 
    92        1:? 1:temporal       0.542 
    93        1:? 2:atempora       0.736 
    94        1:? 2:atempora       0.736 
    95        1:? 1:temporal       0.513 
    96        1:? 1:temporal       0.618 
    97        1:? 1:temporal       0.547 
    98        1:? 1:temporal       0.583 
    99        1:? 2:atempora       0.707 
   100        1:? 2:atempora       0.64 
   101        1:? 2:atempora       0.605 
   102        1:? 1:temporal       0.749 
   103        1:? 2:atempora       0.659 
   104        1:? 1:temporal       0.662 
   105        1:? 2:atempora       0.528 
   106        1:? 2:atempora       0.532 
   107        1:? 1:temporal       0.641 
   108        1:? 2:atempora       0.529 
   109        1:? 1:temporal       0.527 
   110        1:? 2:atempora       0.546 
   111        1:? 2:atempora       0.557 
   112        1:? 1:temporal       0.583 
   113        1:? 1:temporal       0.548 
   114        1:? 2:atempora       0.739 
   115        1:? 1:temporal       0.576 
   116        1:? 2:atempora       0.578 
   117        1:? 1:temporal       0.574 
   118        1:? 1:temporal       0.529 
   119        1:? 1:temporal       0.521 
   120        1:? 1:temporal       0.787 
   121        1:? 1:temporal       0.519 
   122        1:? 1:temporal       0.73 
   123        1:? 1:temporal       0.703 
   124        1:? 2:atempora       0.543 
   125        1:? 2:atempora       0.538 
   126        1:? 1:temporal       0.547 
   127        1:? 2:atempora       0.52 
   128        1:? 1:temporal       0.959 
   129        1:? 1:temporal       0.607 
   130        1:? 1:temporal       0.555 
   131        1:? 1:temporal       0.797 
   132        1:? 2:atempora       0.552 
   133        1:? 1:temporal       0.508 
   134        1:? 2:atempora       0.819 
   135        1:? 1:temporal       0.654 
   136        1:? 2:atempora       0.697 
   137        1:? 2:atempora       0.585 
   138        1:? 2:atempora       0.533 
   139        1:? 2:atempora       0.807 
   140        1:? 1:temporal       0.644 
   141        1:? 1:temporal       0.643 
   142        1:? 1:temporal       0.58 
   143        1:? 2:atempora       0.586 
   144        1:? 2:atempora       0.64 
   145        1:? 1:temporal       0.674 
   146        1:? 2:atempora       0.697 
   147        1:? 1:temporal       0.587 
   148        1:? 2:atempora       0.594 
   149        1:? 1:temporal       0.662 
   150        1:? 2:atempora       0.685 
   151        1:? 1:temporal       0.761 
   152        1:? 1:temporal       0.58 
   153        1:? 1:temporal       0.602 
   154        1:? 2:atempora       0.814 
   155        1:? 2:atempora       0.853 
   156        1:? 1:temporal       0.764 
   157        1:? 2:atempora       0.556 
   158        1:? 1:temporal       0.672 
   159        1:? 1:temporal       0.547 
   160        1:? 2:atempora       0.56 
   161        1:? 1:temporal       0.679 
   162        1:? 1:temporal       0.73 
   163        1:? 2:atempora       0.785 
   164        1:? 1:temporal       0.64 
   165        1:? 2:atempora       0.694 
   166        1:? 1:temporal       0.719 
   167        1:? 2:atempora       0.727 
   168        1:? 2:atempora       0.564 
   169        1:? 1:temporal       0.628 
   170        1:? 2:atempora       0.706 
   171        1:? 1:temporal       0.583 
   172        1:? 2:atempora       0.558 
   173        1:? 2:atempora       0.558 
   174        1:? 1:temporal       0.542 
   175        1:? 1:temporal       0.623 
   176        1:? 1:temporal       0.715 
   177        1:? 1:temporal       0.5 
   178        1:? 1:temporal       0.583 
   179        1:? 1:temporal       0.583 
   180        1:? 2:atempora       0.538 
   181        1:? 2:atempora       0.728 
   182        1:? 2:atempora       0.698 
   183        1:? 1:temporal       0.672 
   184        1:? 1:temporal       0.527 
   185        1:? 2:atempora       0.598 
   186        1:? 2:atempora       0.693 
   187        1:? 1:temporal       0.674 
   188        1:? 1:temporal       0.62 
   189        1:? 2:atempora       0.863 
   190        1:? 1:temporal       0.545 
   191        1:? 1:temporal       0.685 
   192        1:? 1:temporal       0.506 
   193        1:? 2:atempora       0.55 
   194        1:? 1:temporal       0.604 
   195        1:? 1:temporal       0.547 
   196        1:? 1:temporal       0.672 
   197        1:? 1:temporal       0.672 
   198        1:? 2:atempora       0.65 
   199        1:? 1:temporal       0.52 
   200        1:? 2:atempora       0.765 
   201        1:? 1:temporal       0.73 
   202        1:? 1:temporal       0.638 
   203        1:? 1:temporal       0.785 
   204        1:? 1:temporal       0.672 
   205        1:? 1:temporal       0.638 
   206        1:? 2:atempora       0.54 
   207        1:? 1:temporal       0.672 
   208        1:? 1:temporal       0.521 
   209        1:? 1:temporal       0.583 
   210        1:? 2:atempora       0.839 
   211        1:? 1:temporal       0.679 
   212        1:? 1:temporal       0.899 
   213        1:? 1:temporal       0.583 
   214        1:? 2:atempora       0.65 
   215        1:? 2:atempora       0.558 
   216        1:? 2:atempora       0.845 
   217        1:? 1:temporal       0.53 
   218        1:? 1:temporal       0.715 
   219        1:? 2:atempora       0.875 
   220        1:? 2:atempora       0.535 
   221        1:? 1:temporal       0.629 
   222        1:? 1:temporal       0.5 
   223        1:? 1:temporal       0.506 
   224        1:? 1:temporal       0.774 
   225        1:? 1:temporal       0.702 
   226        1:? 1:temporal       0.638 
   227        1:? 1:temporal       0.812 
   228        1:? 2:atempora       0.748 
   229        1:? 2:atempora       0.834 
   230        1:? 2:atempora       0.662 
   231        1:? 1:temporal       0.517 
   232        1:? 2:atempora       0.635 
   233        1:? 2:atempora       0.857 
   234        1:? 1:temporal       0.542 
   235        1:? 2:atempora       0.693 
   236        1:? 2:atempora       0.93 
   237        1:? 2:atempora       0.563 
   238        1:? 1:temporal       0.539 
   239        1:? 1:temporal       0.576 
   240        1:? 1:temporal       0.633 
   241        1:? 2:atempora       0.531 
   242        1:? 1:temporal       0.643 
   243        1:? 1:temporal       0.542 
   244        1:? 1:temporal       0.618 
   245        1:? 1:temporal       0.512 
   246        1:? 2:atempora       0.558 
   247        1:? 1:temporal       0.542 
   248        1:? 1:temporal       0.532 
   249        1:? 1:temporal       0.664 
   250        1:? 2:atempora       0.754 
   251        1:? 1:temporal       0.547 
   252        1:? 1:temporal       0.66 
   253        1:? 2:atempora       0.538 
   254        1:? 2:atempora       0.528 
   255        1:? 2:atempora       0.824 
   256        1:? 1:temporal       0.625 
   257        1:? 2:atempora       0.511 
   258        1:? 1:temporal       0.584 
   259        1:? 1:temporal       0.547 
   260        1:? 2:atempora       0.632 
   261        1:? 2:atempora       0.527 
   262        1:? 2:atempora       0.666 
   263        1:? 2:atempora       0.66 
   264        1:? 2:atempora       0.714 
   265        1:? 2:atempora       0.659 
   266        1:? 1:temporal       0.58 
   267        1:? 1:temporal       0.762 
   268        1:? 1:temporal       0.583 
   269        1:? 1:temporal       0.516 
   270        1:? 1:temporal       0.672 
   271        1:? 2:atempora       0.648 
   272        1:? 2:atempora       0.738 
   273        1:? 1:temporal       0.526 
   274        1:? 2:atempora       0.515 
   275        1:? 1:temporal       0.543 
   276        1:? 1:temporal       0.674 
   277        1:? 1:temporal       0.57 
   278        1:? 1:temporal       0.644 
   279        1:? 2:atempora       0.679 
   280        1:? 1:temporal       0.765 
   281        1:? 1:temporal       0.591 
   282        1:? 1:temporal       0.564 
   283        1:? 1:temporal       0.5 
   284        1:? 1:temporal       0.506 
   285        1:? 1:temporal       0.621 
   286        1:? 1:temporal       0.732 
   287        1:? 1:temporal       0.547 
   288        1:? 1:temporal       0.643 
   289        1:? 2:atempora       0.668 
   290        1:? 2:atempora       0.511 
   291        1:? 2:atempora       0.591 
   292        1:? 1:temporal       0.568 
   293        1:? 1:temporal       0.722 
   294        1:? 1:temporal       0.674 
   295        1:? 2:atempora       0.654 
   296        1:? 1:temporal       0.809 
   297        1:? 2:atempora       0.969 
   298        1:? 2:atempora       0.558 
   299        1:? 1:temporal       0.575 
   300        1:? 1:temporal       0.565 
   301        1:? 2:atempora       0.506 
   302        1:? 1:temporal       0.539 
   303        1:? 2:atempora       0.607 
   304        1:? 2:atempora       0.75 
   305        1:? 2:atempora       0.631 
   306        1:? 1:temporal       0.672 
   307        1:? 2:atempora       0.585 
   308        1:? 1:temporal       0.672 
   309        1:? 1:temporal       0.633 
   310        1:? 2:atempora       0.508 
   311        1:? 2:atempora       0.886 
   312        1:? 2:atempora       0.665 
   313        1:? 1:temporal       0.679 
   314        1:? 2:atempora       0.652 
   315        1:? 1:temporal       0.559 
   316        1:? 1:temporal       0.543 
   317        1:? 2:atempora       0.513 
   318        1:? 1:temporal       0.563 
   319        1:? 1:temporal       0.517 
   320        1:? 2:atempora       0.834 
   321        1:? 2:atempora       0.542 
   322        1:? 1:temporal       0.57 
   323        1:? 2:atempora       0.769 
   324        1:? 1:temporal       0.528 
   325        1:? 1:temporal       0.724 
   326        1:? 2:atempora       0.563 
   327        1:? 1:temporal       0.555 
   328        1:? 2:atempora       0.767 
   329        1:? 1:temporal       0.58 
   330        1:? 2:atempora       0.728 
   331        1:? 1:temporal       0.546 
   332        1:? 1:temporal       0.563 
   333        1:? 2:atempora       0.618 
   334        1:? 2:atempora       0.592 
   335        1:? 1:temporal       0.53 
   336        1:? 1:temporal       0.596 
   337        1:? 1:temporal       0.732 
   338        1:? 2:atempora       0.677 
   339        1:? 1:temporal       0.672 
   340        1:? 1:temporal       0.772 
   341        1:? 2:atempora       0.681 
   342        1:? 1:temporal       0.638 
   343        1:? 2:atempora       0.538 
   344        1:? 1:temporal       0.591 
   345        1:? 1:temporal       0.764 
   346        1:? 1:temporal       0.649 
   347        1:? 1:temporal       0.525 
   348        1:? 2:atempora       0.596 
   349        1:? 1:temporal       0.67 
   350        1:? 1:temporal       0.643 
   351        1:? 2:atempora       0.593 
   352        1:? 1:temporal       0.761 
   353        1:? 1:temporal       0.66 
   354        1:? 2:atempora       0.678 
   355        1:? 1:temporal       0.607 
   356        1:? 2:atempora       0.714 
   357        1:? 1:temporal       0.672 
   358        1:? 1:temporal       0.606 
   359        1:? 2:atempora       0.771 
   360        1:? 2:atempora       0.834 
   361        1:? 1:temporal       0.674 
   362        1:? 1:temporal       0.547 
   363        1:? 1:temporal       0.637 
   364        1:? 1:temporal       0.543 
   365        1:? 1:temporal       0.761 
   366        1:? 1:temporal       0.649 
   367        1:? 2:atempora       0.649 
   368        1:? 2:atempora       0.841 
   369        1:? 2:atempora       0.652 
   370        1:? 1:temporal       0.612 
   371        1:? 2:atempora       0.528 
   372        1:? 2:atempora       0.596 
   373        1:? 1:temporal       0.672 
   374        1:? 1:temporal       0.707 
   375        1:? 2:atempora       0.639 
   376        1:? 1:temporal       0.562 
   377        1:? 2:atempora       0.551 
   378        1:? 1:temporal       0.517 
   379        1:? 2:atempora       0.609 
   380        1:? 2:atempora       0.515 
   381        1:? 2:atempora       0.632 
   382        1:? 1:temporal       0.573 
   383        1:? 1:temporal       0.61 
   384        1:? 2:atempora       0.61 
   385        1:? 1:temporal       0.7 
   386        1:? 1:temporal       0.672 
   387        1:? 1:temporal       0.614 
   388        1:? 1:temporal       0.672 
   389        1:? 1:temporal       0.643 
   390        1:? 2:atempora       0.614 
   391        1:? 1:temporal       0.5 
   392        1:? 2:atempora       0.615 
   393        1:? 1:temporal       0.591 
   394        1:? 1:temporal       0.566 
   395        1:? 1:temporal       0.51 
   396        1:? 2:atempora       0.722 
   397        1:? 2:atempora       0.54 
   398        1:? 1:temporal       0.679 
   399        1:? 1:temporal       0.547 
   400        1:? 1:temporal       0.547 
   401        1:? 1:temporal       0.591 
   402        1:? 1:temporal       0.758 
   403        1:? 2:atempora       0.608 
   404        1:? 2:atempora       0.646 
   405        1:? 2:atempora       0.81 
   406        1:? 1:temporal       0.512 
   407        1:? 2:atempora       0.522 
   408        1:? 2:atempora       0.682 
   409        1:? 1:temporal       0.583 
   410        1:? 2:atempora       0.611 
   411        1:? 2:atempora       0.593 
   412        1:? 2:atempora       0.643 
   413        1:? 1:temporal       0.576 
   414        1:? 1:temporal       0.669 
   415        1:? 1:temporal       0.551 
   416        1:? 2:atempora       0.581 
   417        1:? 1:temporal       0.547 
   418        1:? 2:atempora       0.527 
   419        1:? 1:temporal       0.606 
   420        1:? 1:temporal       0.541 
   421        1:? 2:atempora       0.824 
   422        1:? 1:temporal       0.71 
   423        1:? 2:atempora       0.852 
   424        1:? 1:temporal       0.631 
   425        1:? 1:temporal       0.715 
   426        1:? 1:temporal       0.576 
   427        1:? 2:atempora       0.898 
   428        1:? 1:temporal       0.612 
   429        1:? 2:atempora       0.63 
   430        1:? 2:atempora       0.528 
   431        1:? 1:temporal       0.762 
   432        1:? 2:atempora       0.547 
   433        1:? 1:temporal       0.5 
   434        1:? 1:temporal       0.641 
   435        1:? 1:temporal       0.638 
   436        1:? 2:atempora       0.848 
   437        1:? 1:temporal       0.583 
   438        1:? 1:temporal       0.658 
   439        1:? 2:atempora       0.546 
   440        1:? 2:atempora       0.892 
   441        1:? 1:temporal       0.54 
   442        1:? 1:temporal       0.639 
   443        1:? 1:temporal       0.507 
   444        1:? 1:temporal       0.759 
   445        1:? 1:temporal       0.583 
   446        1:? 1:temporal       0.556 
   447        1:? 1:temporal       0.687 
   448        1:? 2:atempora       0.664 
   449        1:? 1:temporal       0.52 
   450        1:? 1:temporal       0.5 
   451        1:? 2:atempora       0.524 
   452        1:? 1:temporal       0.673 
   453        1:? 1:temporal       0.573 
   454        1:? 1:temporal       0.544 
   455        1:? 2:atempora       0.697 
   456        1:? 2:atempora       0.558 
   457        1:? 2:atempora       0.533 
   458        1:? 2:atempora       0.557 
   459        1:? 2:atempora       0.821 
   460        1:? 1:temporal       0.742 
   461        1:? 2:atempora       0.667 
   462        1:? 1:temporal       0.536 
   463        1:? 1:temporal       0.704 
   464        1:? 2:atempora       0.663 
   465        1:? 1:temporal       0.541 
   466        1:? 2:atempora       0.649 
   467        1:? 1:temporal       0.542 
   468        1:? 1:temporal       0.52 
   469        1:? 2:atempora       0.532 
   470        1:? 2:atempora       0.628 
   471        1:? 1:temporal       0.804 
   472        1:? 2:atempora       0.899 
   473        1:? 2:atempora       0.688 
   474        1:? 1:temporal       0.804 
   475        1:? 1:temporal       0.643 
   476        1:? 2:atempora       0.563 
   477        1:? 2:atempora       0.623 
   478        1:? 1:temporal       0.638 
   479        1:? 2:atempora       0.766 
   480        1:? 1:temporal       0.584 
   481        1:? 1:temporal       0.654 
   482        1:? 1:temporal       0.721 
   483        1:? 1:temporal       0.646 
   484        1:? 1:temporal       0.5 
   485        1:? 1:temporal       0.539 
   486        1:? 2:atempora       0.672 
   487        1:? 1:temporal       0.643 
   488        1:? 1:temporal       0.633 
   489        1:? 1:temporal       0.787 
   490        1:? 2:atempora       0.546 
   491        1:? 2:atempora       0.615 
   492        1:? 2:atempora       0.63 
   493        1:? 2:atempora       0.725 
   494        1:? 2:atempora       0.568 
   495        1:? 1:temporal       0.583 
   496        1:? 2:atempora       0.605 
   497        1:? 2:atempora       0.558 
   498        1:? 1:temporal       0.808 
   499        1:? 1:temporal       0.52 
   500        1:? 1:temporal       0.733 
   501        1:? 1:temporal       0.66 
   502        1:? 2:atempora       0.514 
   503        1:? 2:atempora       0.679 
   504        1:? 2:atempora       0.893 
   505        1:? 2:atempora       0.576 
   506        1:? 1:temporal       0.618 
   507        1:? 1:temporal       0.701 
   508        1:? 1:temporal       0.683 
   509        1:? 2:atempora       0.949 
   510        1:? 1:temporal       0.767 
   511        1:? 1:temporal       0.583 
   512        1:? 1:temporal       0.904 
   513        1:? 1:temporal       0.638 
   514        1:? 1:temporal       0.561 
   515        1:? 1:temporal       0.787 
   516        1:? 2:atempora       0.77 
   517        1:? 2:atempora       0.509 
   518        1:? 2:atempora       0.622 
   519        1:? 1:temporal       0.626 
   520        1:? 2:atempora       0.59 
   521        1:? 2:atempora       0.713 
   522        1:? 2:atempora       0.541 
   523        1:? 1:temporal       0.55 
   524        1:? 2:atempora       0.765 
   525        1:? 2:atempora       0.628 
   526        1:? 2:atempora       0.602 
   527        1:? 1:temporal       0.717 
   528        1:? 1:temporal       0.544 
   529        1:? 1:temporal       0.5 
   530        1:? 1:temporal       0.732 
   531        1:? 1:temporal       0.546 
   532        1:? 1:temporal       0.547 
   533        1:? 2:atempora       0.572 
   534        1:? 2:atempora       0.539 
   535        1:? 2:atempora       0.538 
   536        1:? 2:atempora       0.697 
   537        1:? 2:atempora       0.91 
   538        1:? 1:temporal       0.672 
   539        1:? 1:temporal       0.547 
   540        1:? 2:atempora       0.951 
   541        1:? 1:temporal       0.633 
   542        1:? 2:atempora       0.534 
   543        1:? 1:temporal       0.596 
   544        1:? 2:atempora       0.73 
   545        1:? 1:temporal       0.547 
   546        1:? 1:temporal       0.686 
   547        1:? 2:atempora       0.517 
   548        1:? 2:atempora       0.51 
   549        1:? 2:atempora       0.562 
   550        1:? 1:temporal       0.583 
   551        1:? 1:temporal       0.672 
   552        1:? 2:atempora       0.575 
   553        1:? 1:temporal       0.669 
   554        1:? 1:temporal       0.732 
   555        1:? 2:atempora       0.616 
   556        1:? 2:atempora       0.638 
   557        1:? 1:temporal       0.543 
   558        1:? 1:temporal       0.527 
   559        1:? 2:atempora       0.919 
   560        1:? 1:temporal       0.715 
   561        1:? 1:temporal       0.552 
   562        1:? 2:atempora       0.538 
   563        1:? 1:temporal       0.672 
   564        1:? 2:atempora       0.558 
   565        1:? 2:atempora       0.605 
   566        1:? 1:temporal       0.637 
   567        1:? 2:atempora       0.622 
   568        1:? 2:atempora       0.538 
   569        1:? 1:temporal       0.655 
   570        1:? 1:temporal       0.527 
   571        1:? 2:atempora       0.552 
   572        1:? 1:temporal       0.547 
   573        1:? 2:atempora       0.893 
   574        1:? 2:atempora       0.65 
   575        1:? 1:temporal       0.555 
   576        1:? 2:atempora       0.552 
   577        1:? 1:temporal       0.644 
   578        1:? 1:temporal       0.567 
   579        1:? 2:atempora       0.559 
   580        1:? 2:atempora       0.662 
   581        1:? 1:temporal       0.643 
   582        1:? 2:atempora       0.853 
   583        1:? 2:atempora       0.713 
   584        1:? 1:temporal       0.656 
   585        1:? 1:temporal       0.744 
   586        1:? 1:temporal       0.694 
   587        1:? 1:temporal       0.643 
   588        1:? 2:atempora       0.673 
   589        1:? 1:temporal       0.643 
   590        1:? 1:temporal       0.507 
   591        1:? 1:temporal       0.583 
   592        1:? 1:temporal       0.542 
   593        1:? 1:temporal       0.507 
   594        1:? 2:atempora       0.558 
   595        1:? 2:atempora       0.663 
   596        1:? 1:temporal       0.583 
   597        1:? 2:atempora       0.511 
   598        1:? 1:temporal       0.54 
   599        1:? 1:temporal       0.547 
   600        1:? 2:atempora       0.642 
   601        1:? 2:atempora       0.547 
   602        1:? 2:atempora       0.626 
   603        1:? 1:temporal       0.643 
   604        1:? 2:atempora       0.581 
   605        1:? 1:temporal       0.536 
   606        1:? 2:atempora       0.795 
   607        1:? 2:atempora       0.783 
   608        1:? 1:temporal       0.583 
   609        1:? 2:atempora       0.71 
   610        1:? 1:temporal       0.663 
   611        1:? 2:atempora       0.778 
   612        1:? 1:temporal       0.547 
   613        1:? 1:temporal       0.521 
   614        1:? 2:atempora       0.564 
   615        1:? 2:atempora       0.705 
   616        1:? 1:temporal       0.547 
   617        1:? 2:atempora       0.682 
   618        1:? 2:atempora       0.631 
   619        1:? 1:temporal       0.632 
   620        1:? 2:atempora       0.512 
   621        1:? 2:atempora       0.822 
   622        1:? 2:atempora       0.545 
   623        1:? 2:atempora       0.659 
   624        1:? 1:temporal       0.566 
   625        1:? 2:atempora       0.699 
   626        1:? 1:temporal       0.638 
   627        1:? 1:temporal       0.614 
   628        1:? 1:temporal       0.654 
   629        1:? 1:temporal       0.644 
   630        1:? 2:atempora       0.561 
   631        1:? 2:atempora       0.558 
   632        1:? 2:atempora       0.65 
   633        1:? 1:temporal       0.643 
   634        1:? 1:temporal       0.557 
   635        1:? 1:temporal       0.567 
   636        1:? 2:atempora       0.7 
   637        1:? 2:atempora       0.625 
   638        1:? 1:temporal       0.655 
   639        1:? 2:atempora       0.865 
   640        1:? 1:temporal       0.591 
   641        1:? 1:temporal       0.764 
   642        1:? 1:temporal       0.762 
   643        1:? 1:temporal       0.662 
   644        1:? 1:temporal       0.602 
   645        1:? 1:temporal       0.513 
   646        1:? 2:atempora       0.723 
   647        1:? 2:atempora       0.758 
   648        1:? 1:temporal       0.514 
   649        1:? 1:temporal       0.578 
   650        1:? 2:atempora       0.703 
   651        1:? 2:atempora       0.553 
   652        1:? 1:temporal       0.588 
   653        1:? 1:temporal       0.695 
   654        1:? 2:atempora       0.618 
   655        1:? 1:temporal       0.522 
   656        1:? 1:temporal       0.607 
   657        1:? 1:temporal       0.795 
   658        1:? 1:temporal       0.724 
   659        1:? 2:atempora       0.661 
   660        1:? 2:atempora       0.558 
   661        1:? 2:atempora       0.558 
   662        1:? 1:temporal       0.643 
   663        1:? 1:temporal       0.583 
   664        1:? 1:temporal       0.5 
   665        1:? 2:atempora       0.577 
   666        1:? 1:temporal       0.514 
   667        1:? 1:temporal       0.762 
   668        1:? 2:atempora       0.653 
   669        1:? 2:atempora       0.764 
   670        1:? 1:temporal       0.721 
   671        1:? 1:temporal       0.685 
   672        1:? 2:atempora       0.769 
   673        1:? 2:atempora       0.538 
   674        1:? 2:atempora       0.542 
   675        1:? 1:temporal       0.695 
   676        1:? 1:temporal       0.565 
   677        1:? 1:temporal       0.787 
   678        1:? 2:atempora       0.891 
   679        1:? 2:atempora       0.719 
   680        1:? 2:atempora       0.884 
   681        1:? 1:temporal       0.544 
   682        1:? 1:temporal       0.59 
   683        1:? 2:atempora       0.721 
   684        1:? 2:atempora       0.515 
   685        1:? 2:atempora       0.558 
   686        1:? 2:atempora       0.567 
   687        1:? 1:temporal       0.619 
   688        1:? 1:temporal       0.572 
   689        1:? 1:temporal       0.572 
   690        1:? 2:atempora       0.543 
   691        1:? 2:atempora       0.814 
   692        1:? 1:temporal       0.583 
   693        1:? 2:atempora       0.667 
   694        1:? 1:temporal       0.547 
   695        1:? 1:temporal       0.57 
   696        1:? 1:temporal       0.841 
   697        1:? 1:temporal       0.547 
   698        1:? 1:temporal       0.592 
   699        1:? 1:temporal       0.692 
   700        1:? 1:temporal       0.547 
   701        1:? 2:atempora       0.542 
   702        1:? 2:atempora       0.564 
   703        1:? 2:atempora       0.513 
   704        1:? 2:atempora       0.58 
   705        1:? 1:temporal       0.529 
   706        1:? 1:temporal       0.721 
   707        1:? 1:temporal       0.606 
   708        1:? 1:temporal       0.878 
   709        1:? 2:atempora       0.867 
   710        1:? 1:temporal       0.544 
   711        1:? 1:temporal       0.627 
   712        1:? 1:temporal       0.551 
   713        1:? 1:temporal       0.674 
   714        1:? 2:atempora       0.655 
   715        1:? 2:atempora       0.832 
   716        1:? 1:temporal       0.542 
   717        1:? 2:atempora       0.599 
   718        1:? 1:temporal       0.602 
   719        1:? 1:temporal       0.855 
   720        1:? 1:temporal       0.643 
   721        1:? 1:temporal       0.518 
   722        1:? 2:atempora       0.527 
   723        1:? 2:atempora       0.529 
   724        1:? 2:atempora       0.52 
   725        1:? 2:atempora       0.603 
   726        1:? 1:temporal       0.514 
   727        1:? 1:temporal       0.78 
   728        1:? 1:temporal       0.528 
   729        1:? 1:temporal       0.581 
   730        1:? 1:temporal       0.516 
   731        1:? 1:temporal       0.547 
   732        1:? 1:temporal       0.791 
   733        1:? 1:temporal       0.542 
   734        1:? 2:atempora       0.744 
   735        1:? 1:temporal       0.633 
   736        1:? 2:atempora       0.627 
   737        1:? 1:temporal       0.784 
   738        1:? 2:atempora       0.532 
   739        1:? 2:atempora       0.687 
   740        1:? 1:temporal       0.52 
   741        1:? 2:atempora       0.575 
   742        1:? 1:temporal       0.547 
   743        1:? 2:atempora       0.542 
   744        1:? 2:atempora       0.841 
   745        1:? 1:temporal       0.67 
   746        1:? 1:temporal       0.677 
   747        1:? 2:atempora       0.86 
   748        1:? 1:temporal       0.679 
   749        1:? 1:temporal       0.54 
   750        1:? 1:temporal       0.523 
   751        1:? 1:temporal       0.593 
   752        1:? 2:atempora       0.736 
   753        1:? 1:temporal       0.796 
   754        1:? 1:temporal       0.69 
   755        1:? 1:temporal       0.529 
   756        1:? 2:atempora       0.542 
   757        1:? 1:temporal       0.643 
   758        1:? 1:temporal       0.5 
   759        1:? 1:temporal       0.643 
   760        1:? 2:atempora       0.811 
   761        1:? 2:atempora       0.512 
   762        1:? 2:atempora       0.555 
   763        1:? 1:temporal       0.656 
   764        1:? 1:temporal       0.591 
   765        1:? 2:atempora       0.524 
   766        1:? 2:atempora       0.595 
   767        1:? 2:atempora       0.725 
   768        1:? 1:temporal       0.583 
   769        1:? 2:atempora       0.548 
   770        1:? 2:atempora       0.689 
   771        1:? 1:temporal       0.623 
   772        1:? 1:temporal       0.544 
   773        1:? 2:atempora       0.523 
   774        1:? 1:temporal       0.64 
