@relation timetagging

@attribute gloss String
@attribute tense {past,present,future,neutral,atemporal}



@data
' किसी नई, विलक्ष्ण या असाधारण बात को देखने, सुनने या ध्यान में आने पर मन में उठने वाला भाव, प्रदर्शित होना',atemporal
' वह रिश्ता जो अपने ही बाप-दादा का संबंधी होने के कारण हो या एक ही वंश में उत्पन्न होने से बना रिश्ता',atemporal
' वह भारतीय जिसके पास भारतीय पासपोर्ट हो पर जो रोजगार, आवास, शिक्षा या किसी अन्य उद्देश्य से विदेश में रह रहा हो',atemporal
' समय पर नहीं',neutral
' बहुत अधिक समय',neutral
' पहले से ही लगाया जानेवाला अनुमान',future
' जैसी आशा या प्रत्याशा की गई हो',future
' अधिक से अधिक जितना हो सकता हो या सबसे अधिक',atemporal
' आगे चलकर होने वाली वह बात जो पहले से ही किसी ने कह दी हो',future
' * एक लंबा समय',neutral
' जो वर्तमान काल से संबंधित हो या वर्तमान काल का',present
' आने वाला काल या समय',future
' जो शरीर के अंदर पहुँचकर उष्णता या ताप उत्पन्न करता हो या जिसकी तासीर या प्रभाव तापकारक हो (औषध या खाद्य पदार्थ)',atemporal
' जिसका कुछ विशेष महत्व हो या जिसकी उपयोगिता आदि मान्य हो और जिसका दूसरी बातों पर प्रभाव पड़ता हो',atemporal
' ऐसा समय जिसमें अतिवृष्टि या अनावृष्टि के कारण अन्न बहुत ही कठिनता से मिले या अन्न की कमी हो',neutral
' जिसमें बल या शक्ति हो या जोरदार',atemporal
' जिसकी इच्छा की गई हो',future
' किसी व्यक्ति के कार्य, गतिविधि आदि पर इस प्रकार ध्यान रखना कि कोई अनौचित्य या सीमा का उल्लंघन न होने पाए',atemporal
' बीता हुआ',past
' जो इस समय हो या चल रहा हो',present
' इस तरफ़ या इस ओर',atemporal
' अधिक से अधिक जितना हो सकता हो या सबसे अधिक',atemporal
' व्याकरण में वह काल जो वर्तमान समय से आगे की क्रियाओं या अवस्थाओं को बताता है',future
' किसी वस्तु,व्यक्ति आदि का दूसरी वस्तु, व्यक्ति आदि के पास उसकी शक्ति, सुंदरता, प्रेरणा आदि के द्वारा चले आना या उसे पसंद करने लगना',atemporal
' वह स्थान जहाँ ब्याज पाने की इच्छा से रुपया जमा किया जाता हो और ऋण भी लिया जा सकता हो',atemporal
' जिसमें आर्द्रता या जलीय अंश सूखकर इतना कम हो या इतना कम बच रहा हो कि उसे सहज में मनमाना रूप न दिया जा सके या जो मुलायम न हो',atemporal
' किसी को चिढ़ाने, दुखी करने, नीचा दिखाने आदि के लिए कही जाने वाली वह बात जो स्पष्ट शब्दों में न होने पर भी अथवा विपरीत रूप की होने पर भी उक्त प्रकार का अभिप्राय या आशय प्रकट करती हो',atemporal
' हिंदुओं का एक त्योहार जो होली के जलने के दूसरे दिन चैत बदी प्रथमा को होता है और जिसमें सवेरे के समय लोग एक दूसरे पर कीचड़, धूल आदि और संध्या को अबीर, गुलाल आदि डालते हैं',past
' जन्म से लेकर अब तक का जीवन काल या बीता हुआ जीवन काल',future
' वह कोशिका जिसमें शरीर के किसी भी अंग की कोशिका के रूप में विकसित होने की क्षमता होती है एवं अन्य किसी भी प्रकार की कोशिका में बदल सकती है अतः इस कोशिका को शरीर की किसी भी कोशिका की मरम्मत के लिए प्रयोग किया जा सकता है',atemporal
' दक्षिण-पूर्वी यूरोप का एड्रियाटिक सागर की सीमा पर का सर्बिया और मोंटेनेग्रो नामक दो गणराज्यों से गठित एक भूतपूर्व पहाड़ी गणराज्य जो उन्नीस सौ बयानवे तक यूगोस्लाविया कहलाता था, सर्बिया और मोंटेनेग्रो दो हज़ार तीन तक यूगोस्लाविया के संघीय गणराज्य के रूप में जाने जाते थे जब तक कि उन्होंने सर्बिया और मोंटेनेग्रो के संघ के नाम को नहीं अपनाया था',neutral
' ऐसी स्थिति में कराना जिससे कोई वस्तु अंदर से बाहर या बाहर से अंदर न जा सके या जिसका उपयोग न किया जा सके',atemporal
' किसी अपने के अनुचित या अप्रत्याशित व्यवहार से इतना दुःखी, अप्रसन्न, उदासीन या चुप होना कि उसके बुलाने तथा मनाने पर भी जल्दी न बोलना या मानना',atemporal
' किसी वस्तु, कार्य आदि को दूसरे के अधिकार से अपने अधिकार में लेना या उसपर अपना आधिपत्य स्थापित करना या उसका संचालन आदि स्वयं करना',atemporal
' एक सौरमण्डलीय वस्तु जो पत्थर, धूल, बर्फ़ और गैस का बना एक छोटा खंड होता है और यह ग्रहों के समान सूर्य की परिक्रमा करता है',neutral
' वह जो अपना पुत्र न होने पर भी शास्त्र या विधि के अनुसार अपना पुत्र बना लिया गया हो',atemporal
' ऐसी स्थिति में करना जिससे कोई वस्तु अंदर से बाहर या बाहर से अंदर न जा सके या जिसका उपयोग न किया जा सके',atemporal
' औरों विशेषतः साथ वालों के न रह जाने पर या जो काम करना हो उसे कर लेने पर भी जो अभी विद्यमान हो',atemporal
' जितना अधिक से अधिक समाया जा सकता हो उतना समाया हुआ',atemporal
' एक रोग जिसमें मनुष्य को नींद बिल्कुल नहीं आती या कभी-कभी और बहुत कम आती है',past
' वह जो किसी पद पर नियुक्त हो और जिसे उस पद के सब अधिकार प्राप्त हों',atemporal
' जो पूर्णरूप से न किसी व्यक्ति,निजी संस्था आदि का हो न सरकार का या जिसके कुछ कार्यों का निर्णय सरकार ही ले सकती हो',atemporal
' वह जिसे स्त्री के रूप में साकार किया गया हो तथा जिसे उसके वर्ग का सबसे अच्छा और सबसे महत्वपूर्ण माना गया हो',atemporal
' इस समय से पहले का या जो पूर्व काल से संबंधित हो',present
' वह अतिरिक्त या विशेष अंश जो किसी विशिष्ट कार्य के लिए या किसी विशेष परिस्थिति में अलग से अधिक लिया जाय या परिमाण से अधिक कर या शुल्क',atemporal
' किसी को चिढ़ाने,दुखी करने,नीचा दिखाने आदि के लिए कोई बात कहना जो स्पष्ट शब्द में नहीं होने पर भी उक्त प्रकार का अभिप्राय प्रकट करती हो',atemporal
' किसी के द्वारा कोई किया जा रहा ऐसा काम जिसमें अन्य भी शामिल हों या मेजबान का काम या किसी वस्तु, जगह आदि पर इस प्रकार का आयोजन',atemporal
' एक रोग जिसमें मूत्र के साथ या उसके मार्ग से शरीर की शुक्र आदि धातुएँ निकलती रहती हैं',past
' वह पत्र जिसके द्वारा कोई अभिकर्ता नियुक्त किया गया हो तथा उसे कोई काम करने का संपूर्ण अधिकार दे दिया गया हो ',atemporal
' जो ऐसी स्थिति या स्थान में लाया गया हो जिसमें या जहाँ वह कुछ काम न कर सके (लाक्षणिक प्रयोग)',atemporal
' सुश्रुत संहिता में वर्णित एवं प्रायः बच्चों को होने वाला एक वात, कफ जनित रोग जिसमें शरीर में चिकने गाँठ बन जाते हैं और उसमें दर्द भी बहुत कम होता है',neutral
' वे लोग जिनका कोई स्थायी निवास नहीं होता और जिसके कारण वे हमेशा एक स्थान से दूसरे स्थान पर घूमते रहते हैं',neutral
' जिसमें किसी व्यक्ति का हिसाब हो उस बैंक (अधिकोष) को दिया गया इस आशय का लिखित आदेश कि वह मेरे खाते में से वाहक अथवा अमुक निर्दिष्ट व्यक्ति को लिखित रकम दे दे',atemporal
' सूर्यास्त होने से पहले और बाद के तीस क्षणों के बीच का समय जब चरकर लौटती हुई गौओं के खुरों से धूल उड़ती रहती है',future
' किसी वस्तु, व्यक्ति आदि को किसी वस्तु, व्यक्ति आदि के द्वारा अपनी शक्ति या प्रेरणा से अपने पास लाना',atemporal
' वह अधिकार जिसके आधार पर कोई वस्तु अपने पास रखी अथवा किसी से ली या माँगी जा सकती हो',atemporal
' ऐसा व्यक्ति जिसमें पौरुष या बल का अभाव हो पर उसकी आड़ लेकर दूसरे लोग अपना काम निकालते हों',atemporal
' वह निश्चित और अटल दैवी विधान जिसके अनुसार मनुष्य के सब कार्य पहले ही से नियत किये हुए माने जाते हैं और जिसका स्थान ललाट माना गया है',past
' इस लोक या इस संसार से सम्बन्ध रखनेवाला',present
' देश, राज्य आदि की वह सबसे बड़ी सत्ता या अधिकार जिसके ऊपर और कोई बड़ी सत्ता या अधिकार न हो और जो अपने सभी कार्यक्षेत्रों में सब प्रकार से पूर्ण स्वतंत्र हो',atemporal
' एक प्रसिद्ध हिन्दू त्योहार जिसमें फाल्गुन की पूर्णिमा की रात में चौराहों आदि पर आग जलाते हैं और एक-दूसरे पर रंग, अबीर आदि डालते हैं एवं परस्पर हास-परिहास भी करते हैं',neutral
' दृष्टि-शक्ति अथवा नेत्रों से किसी चीज का ज्ञान प्राप्त करना या आँखों से किसी व्यक्ति या पदार्थ आदि के रूप-रंग और आकार-प्रकार आदि का ज्ञान प्राप्त करना',atemporal
' जो चल रहा हो या चलाया गया हो',present
' धन आदि किसी ऐसे व्यक्ति को देना या ऐसी स्थिति में लगा रखना कि उससे या वहाँ से वह जल्दी लौटकर प्राप्त न हो सकता हो',atemporal
' वह जिसने विधि अथवा क़ानून का अच्छा अध्ययन किया हो तथा जो दूसरों के व्यवहारों के संबंध में न्यायालय में प्रतिनिधि के रूप में काम करता हो',atemporal
' एक संक्रामक रोग जो एक प्रकार के बैक्टिरिया के साँस या भोजन के साथ शरीर में प्रवेश करने से होता है और जो बुखार तथा छोटे घावों के रूप में प्रकट होता है (विशेषकर फेफड़ों में लेकिन तीव्र अवस्था में शरीर के अन्य भागों में भी)। इसमें रोगी का फेफड़ा या संक्रमित अंग सड़ता जाता है और सारा शरीर धीरे-धीरे कमज़ोर हो जाता है',neutral
' किसी बात, कार्य आदि के बारे में लोगों द्वारा दी गई साकारात्मक प्रतिक्रिया',future
' वह जो किसी व्यक्ति या संस्था की ओर से उसके प्रतिनिधि के रूप में कुछ करने के लिए नियत हो',atemporal
' जिसे अधिकार दिया गया हो या जिसे कुछ करने या पाने का अधिकार हो',atemporal
' शक्ति या बल द्वारा अपने अधिकार में लेना',atemporal
' वह शक्ति जो अधिकार,बल या सामर्थ्य का उपभोग करके अपना काम करती हो',atemporal
' जिस बात की ओर किसी का ध्यान न गया हो उसकी ओर उसका ध्यान दिलाने के लिए कही हुई बात',atemporal
' जिसे ठीक, नियमित या विहित न होने के कारण न माना जा सकता हो या न मानने योग्य',atemporal
' वह बात जिसे कोई सिद्ध करना चाहता हो तथा जिसका किसी ओर से विरोध होता या हो सकता हो',atemporal
' वह कविता जिसमें पहले कही हुई बात से मुकरते हुए कुछ और ही बात बनाकर कही जाए',future
' किसी आविष्कार, निर्माण आदि पर पूर्ण अधिकार जिसके द्वारा वही अधिकारी व्यक्ति, कंपनी आदि उस वस्तु को बना, बेंच आदि सकता है',atemporal
' जिस पर प्रकाश पड़ रहा हो',present
' किसी कार्य आदि को रोकने के लिए उसके विपरीत कुछ करने की क्रिया या किसी कार्य, जिसे हम न चाहते हों, के विपरीत कुछ करने की क्रिया',atemporal
' किसी दी गई सेवा के लिए प्राप्त, एकत्रित या सहमत हुई राशि के प्रतिशत के आधार पर, वेतन के अतिरिक्त दिया गया शुल्क',future
' औरों के मन में आतंक उत्पन्न करने के लिए किया जाने वाला शक्ति, महत्व आदि का प्रदर्शन',atemporal
' जिसे प्राप्त करने के लिए आवश्यकता से अधिक व्यय करना, कष्ट उठाना या बदनामी अथवा हानि सहनी पड़ी हो',atemporal
' एक प्रकार की कसरत जिसमें जमीन पर दंड करके झट दोनों पैर समेट लेते हैं और फिर दाहिने पैर को दाहिनी ओर और बाएँ पैर को बाई ओर चक्कर देते हुए पेट के पास लाते हैं',neutral
' किसी कर्मचारी या कार्यकर्त्ता के किसी अपराध, त्रुटि या दोष की सूचना मिलने पर उसकी ठीक जाँच या निर्णय होने तक उसे उसके पद से अस्थायी रूप से हटाये जाने की क्रिया या भाव',atemporal
' कर्जदार का ऋण या अपराधी का जुर्माना वसूल करने के लिए राज्य द्वारा उसकी संपत्ति पर किया गया अधिकार',atemporal
' वह बहन जो वास्तव में बहन न होने पर भी कहकर बनाई गयी हो या वह जिसके साथ बहन का नाता लगाया गया हो',atemporal
' किसी में कुछ अभिमान उत्पन्न करना या किसी को अधिक महत्व देना',atemporal
' जो मिल न रहा हो या लुप्त हो गया हो',present
' कम्प्यूटर में जानकारी डालने, उसे पुनःप्राप्त करने आदि प्रक्रियाओं का कम्प्यूटर द्वारा नियंत्रण',atemporal
' ऐसे राज्यों का समूह जो अपने-अपने क्षेत्र में कुछ स्वतंत्र हों, पर कुछ विशिष्ट कार्य के लिए किसी केंद्रीय शासन के अधीन हों',atemporal
' जिसके तरफ़ ध्यान दिया गया हो या जिसकी उपेक्षा न की गयी हो',atemporal
' कम्प्यूटर तथा इंटरनेट का उपयोग करके किसी के व्यक्तिगत पहचान की चोरी करने या निषिद्ध माल या स्टॉक बेंचने या अनिष्टकारी प्रोग्राम से किसी कार्य को अस्त-व्यस्त करने के लिए किया गया अपराध',atemporal
' वह विज्ञान जिसमें इस बात का विवेचन होता है कि लोग अपराध क्यों करते हैं और उनकी आपराधिक प्रवृत्ति का किन उपायों से अंत किया जा सकता है',past
' ऐसा काम करना या ऐसी स्थिति उत्पन्न करना जिससे किसी में कुछ गरमी जैसे कि आवेश, उत्तेजना, उत्साह, तीव्रता, प्रसन्नता आदि उत्पन्न हो',atemporal
' कोई काम करते-करते ऐसी स्थिति में पहुँचना कि मन में उस काम को करने का उत्साह न रह जाय',atemporal
' एक खेल जिसमें दोनों दल एक रस्सी को उल्टी दिशा में अपनी-अपनी ओर खींचते हैं और जो दूसरे की सीमा में खींच जाता है उसकी हार हो जाती है ',neutral
' जो अपने पैरों पर चल रहा हो',present
' किसी मान्य अथवा प्रिय के आने पर आगे बढ़कर सादर उसका अभिवादन करने वाला व्यक्ति',future
' प्रायः नीले या हल्के सफेद रंग का एक प्रकार का भारी, चमकीला और भुरभुरा खनिज पदार्थ जिसका प्रयोग धातुओं में मिलाने तथा रासायनिक कार्यों के लिए होता है',past
' समाज का वह वर्ग जो सबसे नीचा माना गया हो अथवा दुःखी हो और जिसे उच्च वर्ग के लोग उठने न देते हों',atemporal
' वह अंक जो किसी अंक का वर्ग हो या वह संख्या जो किसी संख्या को उसी संख्या से गुणा करने पर प्राप्त हो',atemporal
' वह भवन जो किसी विशेष काम के लिए समर्पित हो या जहाँ कोई विशेष काम होता हो',atemporal
' * जिसके पास ऋण चुकाने के लिए कुछ भी न रह गया हो ऐसी स्थिति में लाना',atemporal
' किसी के आचरण, गति-विधि, व्यवहार आदि का ध्यान रखते हुए तथा उसके सब व्यवहार को संचालित करते हुए उसे अपने साथ निर्वाह करने के योग्य बनाना',past
' किसी विषय के ठीक होने के संबंध में दृढ़ता पूवर्क कुछ कहने का वह प्रकार जिसमें सत्य या असत्य सिद्ध होने पर हार-जीत व कुछ लेन-देन भी हो',atemporal
' किसी चाल युक्ति आदि के द्वारा किसी को इस प्रकार अपने अधिकार में लाना कि उसे ठगा या धोखा देकर अपना स्वार्थ साधा जा सके',atemporal
' वह जो किसी व्यक्ति के लिए सबसे प्रिय हो और जिसके लिए वह कोई भी काम करने को तैयार हो',atemporal
' अंतःकरण या मन की वह वृति या शक्ति जो उसे किसी चीज या बात का बोध कराती, उसमें कोई धारणा उत्पन्न करती अथवा कोई स्मृति जाग्रत करती है',atemporal
' अवैध वस्तुओं या किसी व्यक्ति आदि को पकड़ने के लिए पुलिस या सरकारी विभागों द्वारा अचानक जाँच-पड़ताल करना या तलाशी लेना',atemporal
' किसी वस्तु का इतना अधिक हो जाना कि वह सँभाली न जा सके',atemporal
' काम में आने के बाद भी कुछ शेष रह जाना',future
' जो आँखों से दूर या परे अर्थात् अदृश्य हो गया हो या दिखाई न पड़ रहा हो',present
' एक कागज जिसके एक तरफ एक पतला रासायनिक पदार्थ लगा रहता है और जिसका उपयोग शब्दों, वाक्यों आदि को दूसरे कागज पर उतारने के लिए किया जाता है',neutral
' जहाँ वस्तुएँ अधिक मूल्य पर बिकती हों या किसी सेवा का अधिक मूल्य लिया जाता हो',atemporal
' जिसे पीड़ा या कष्ट पहुँचाया गया हो',atemporal
' किसी की ओर से कोई काम करने के लिए नियुक्त व्यक्ति',atemporal
' शीशे का बना हुआ वह त्रिभुजाकार उपकरण जिसका उपयोग किरणों को उसके मार्ग से विचलित करने के लिए किया जाता है',past
' वह स्थान जहाँ अंतरिक्ष संबंधी बातों आदि को जानने के लिए या अंतरिक्ष संबंधी कुछ काम, शोध आदि करने के लिए उपकरण आदि की व्यवस्था हो',atemporal
' जो बिगड़ गया हो या काम न कर रहा हो (यंत्र)',present
' कोई विशेष काम करने या अपने पास कोई विशेष वस्तु रखने का शासन द्वारा प्रदत्त अधिकार-पत्र',atemporal
' वह थैला जिसमें रुपया-पैसा और कुछ व्यक्तिगत वस्तुएँ रखी जाती हैं और जो विशेषकर महिलाएँ प्रयोग करती हैं और जिसमें टंगना भी होता है',neutral
' मनुष्यों के आचार-व्यवहार के लिए राज्य द्वारा स्थिर किए हुए वे नियम या विधान, जिनका पालन सबके लिए आवश्यक और अनिवार्य होता है और जिनका उल्लंघन करने से मनुष्य दंडित होता या हो सकता है',neutral
' किसी व्यक्ति, वस्तु आदि उपेक्षा न करना बल्कि ध्यान देना',atemporal
' जिसके पास कुछ करने के लिए आवश्यक साधन, कौशल, जानकारी, शक्ति या क्षमता हो',atemporal
' पुष्पों का जानकार या वह व्यक्ति जिसे पुष्प सम्बंधित सभी बातों की जानकारी हो',atemporal
' किसी को नीचा दिखाने या हानि पहुँचाने के लिए कोई कार्य करना या कुछ कहना',atemporal
' किसी काम या बात में सम्मिलित रहने वाला या होने वाला कोई व्यक्ति',future
' कोई काम होने या किसी के आने के आसरे रहने की क्रिया या भाव',future
' किसी संपत्ति को रक्षित रखने के लिए अथवा किसी व्यक्ति को भागने आदि से रोकने के लिए अपने अधिकार या रक्षा में लेकर रखने की क्रिया या भाव',atemporal
' अवैध वस्तुओं या किसी व्यक्ति आदि को पकड़ने के लिए पुलिस या सरकारी विभागों द्वारा की जानेवाली अचानक जाँच-पड़ताल या ली जानेवाली तलाशी',atemporal
' वह जिसे किसी योग या तपस्या के द्वारा कोई सिद्धि या अलौकिक शक्ति प्राप्त हुई हो',atemporal
' जिसमें बल या शक्ति न हो',atemporal
' किसी देश में काग़ज़ी मुद्रा या नोटों आदि का अपेक्षाकृत बहुत अधिक प्रचलन होने अथवा कृत्रिम रूप से मुद्रा के बहुत बढ़ जाने की स्थिति जिससे मुद्रा का मूल्य बहुत घट जाता है और वस्तुओं के मूल्य बहुत बढ़ जाते हैं',neutral
' दूसरों के हित या सुविधा के लिए किसी व्यक्ति या समूह द्वारा किया गया काम',atemporal
' किसी वस्तु या व्यक्ति के रूप का वह चित्र जिसे रेखाओं से बनाया गया हो',atemporal
' वह व्यक्ति जो अभी कुछ सीख रहा हो पर उसमें पूरी तरह से निपुण न हो',present
' (किवाड़,ढकना आदि ) जो ऐसी स्थिति में हो जिससे कोई वस्तु अंदर से बाहर या बाहर से अंदर न जा सके',atemporal
' इस प्रकार चल देना कि जल्दी किसी को पता भी न चले',present
' किसी को छकाने, छेड़ने या तंग करने के लिए जानबूझकर ऐसी चेष्टा या व्यवहार करना जिसमें दूसरों के प्रति भी कुछ अवज्ञा, अविनय या उद्दंडता का भाव मिला हो',atemporal
